"GEO_ID","NAME","B15003_001E","B15003_001M","B15003_002E","B15003_002M","B15003_003E","B15003_003M","B15003_004E","B15003_004M","B15003_005E","B15003_005M","B15003_006E","B15003_006M","B15003_007E","B15003_007M","B15003_008E","B15003_008M","B15003_009E","B15003_009M","B15003_010E","B15003_010M","B15003_011E","B15003_011M","B15003_012E","B15003_012M","B15003_013E","B15003_013M","B15003_014E","B15003_014M","B15003_015E","B15003_015M","B15003_016E","B15003_016M","B15003_017E","B15003_017M","B15003_018E","B15003_018M","B15003_019E","B15003_019M","B15003_020E","B15003_020M","B15003_021E","B15003_021M","B15003_022E","B15003_022M","B15003_023E","B15003_023M","B15003_024E","B15003_024M","B15003_025E","B15003_025M",
"Geography","Geographic Area Name","Estimate!!Total:","Margin of Error!!Total:","Estimate!!Total:!!No schooling completed","Margin of Error!!Total:!!No schooling completed","Estimate!!Total:!!Nursery school","Margin of Error!!Total:!!Nursery school","Estimate!!Total:!!Kindergarten","Margin of Error!!Total:!!Kindergarten","Estimate!!Total:!!1st grade","Margin of Error!!Total:!!1st grade","Estimate!!Total:!!2nd grade","Margin of Error!!Total:!!2nd grade","Estimate!!Total:!!3rd grade","Margin of Error!!Total:!!3rd grade","Estimate!!Total:!!4th grade","Margin of Error!!Total:!!4th grade","Estimate!!Total:!!5th grade","Margin of Error!!Total:!!5th grade","Estimate!!Total:!!6th grade","Margin of Error!!Total:!!6th grade","Estimate!!Total:!!7th grade","Margin of Error!!Total:!!7th grade","Estimate!!Total:!!8th grade","Margin of Error!!Total:!!8th grade","Estimate!!Total:!!9th grade","Margin of Error!!Total:!!9th grade","Estimate!!Total:!!10th grade","Margin of Error!!Total:!!10th grade","Estimate!!Total:!!11th grade","Margin of Error!!Total:!!11th grade","Estimate!!Total:!!12th grade, no diploma","Margin of Error!!Total:!!12th grade, no diploma","Estimate!!Total:!!Regular high school diploma","Margin of Error!!Total:!!Regular high school diploma","Estimate!!Total:!!GED or alternative credential","Margin of Error!!Total:!!GED or alternative credential","Estimate!!Total:!!Some college, less than 1 year","Margin of Error!!Total:!!Some college, less than 1 year","Estimate!!Total:!!Some college, 1 or more years, no degree","Margin of Error!!Total:!!Some college, 1 or more years, no degree","Estimate!!Total:!!Associate's degree","Margin of Error!!Total:!!Associate's degree","Estimate!!Total:!!Bachelor's degree","Margin of Error!!Total:!!Bachelor's degree","Estimate!!Total:!!Master's degree","Margin of Error!!Total:!!Master's degree","Estimate!!Total:!!Professional school degree","Margin of Error!!Total:!!Professional school degree","Estimate!!Total:!!Doctorate degree","Margin of Error!!Total:!!Doctorate degree",
"5001800US2504","Congressional District 4 (118th Congress), Massachusetts","548683","7904","8027","1639","13","3","200","184","389","286","695","592","222","276","2695","1183","842","515","1164","537","905","393","3663","1277","5211","1436","6033","1532","6101","1667","8316","1846","99934","5237","13478","2024","20782","2653","48597","4017","40439","3665","134423","5890","98423","4714","24774","2489","23357","2629",
"5001800US2505","Congressional District 5 (118th Congress), Massachusetts","552249","7928","9868","2315","873","677","93","158","21","3","447","588","240","362","546","506","1014","560","2969","1325","1087","693","2836","1151","2460","834","3144","1251","3656","1635","9030","2063","84479","5051","9497","1658","16409","2251","36440","3717","25790","2799","156435","6742","119829","5424","25168","2735","39918","2929",
"5001800US2506","Congressional District 6 (118th Congress), Massachusetts","561199","6291","9372","1929","238","192","131","215","283","196","1235","692","1121","576","634","405","674","762","1907","1345","1754","1056","4565","1625","2091","969","2913","1030","3168","1147","7897","1431","114302","6404","15703","2437","26244","2885","48817","4044","42469","3530","155082","6793","90836","5099","17525","2266","12238","1774",
"5001800US2507","Congressional District 7 (118th Congress), Massachusetts","515600","7983","17211","2526","244","252","677","539","687","623","1282","831","3105","1402","1579","749","4486","1901","3344","978","2745","1154","5822","1711","4910","1657","3949","1153","5121","1225","8960","1566","89125","5698","12722","2058","17719","2704","37734","4051","31080","3830","132986","6482","82098","5052","19883","2869","28131","2924",
"5001800US2508","Congressional District 8 (118th Congress), Massachusetts","584444","8950","14596","2453","199","318","422","493","0","225","264","254","739","492","404","381","1093","552","2597","1053","839","608","3747","1228","4123","1565","2314","729","3043","820","9800","2001","95682","5438","13210","2200","27801","2768","52724","4224","41964","3750","177586","7000","95444","5803","21913","2830","13940","2182",
"5001800US2509","Congressional District 9 (118th Congress), Massachusetts","581968","6517","8411","1704","97","72","513","387","395","366","748","522","216","266","2723","1235","993","502","2527","927","1238","708","2443","674","3587","1623","4736","1546","2897","995","8337","1627","131666","7345","16581","2090","34153","3346","61093","4752","47570","3684","143128","6166","78061","5196","17690","2592","12165","2137",
"5001800US2601","Congressional District 1 (118th Congress), Michigan","586778","1789","6160","941","60","72","148","221","0","184","1","3","183","136","127","124","364","290","481","208","525","324","2457","533","3171","626","7401","1085","7684","941","9111","1112","158286","4712","25538","1578","47043","2594","84955","3153","61296","2995","107583","3626","49336","2653","8949","1096","5919","998",
"5001800US2602","Congressional District 2 (118th Congress), Michigan","550923","5399","6761","1095","80","100","36","39","46","49","111","147","339","192","74","71","177","193","702","353","563","337","5591","1187","5298","1131","7271","1171","10980","1764","8176","1324","160839","5242","28535","2077","49184","2822","79154","4136","59483","3333","85426","4165","31913","2647","5502","973","4682","846",
"5001800US2603","Congressional District 3 (118th Congress), Michigan","520432","5456","10471","2370","0","184","88","92","250","329","287","332","181","186","202","220","624","429","2499","906","457","385","2246","833","2327","868","5742","1208","5435","1132","10075","1625","102895","5516","18042","1938","37341","3245","66938","4589","47367","3954","134464","6326","54167","3402","10146","1510","8188","1643",
"5001800US2604","Congressional District 4 (118th Congress), Michigan","517320","5509","6957","1548","27","50","25","52","47","82","212","193","188","125","45","85","958","628","1227","651","802","466","2374","713","3655","1108","6889","1431","6869","1279","8085","1801","125172","5713","19328","1851","35047","2937","71100","4430","48673","2984","112924","5410","49229","3238","9883","1667","7604","1212",
