"search_key","type","number","congress","effective_date","year","month","bioguide_id","issue"
"[""china""]","HAMDT","442","115","13/9/2017","2017","09","H001064","Commerce"
"[""china""]","HAMDT","443","115","13/9/2017","2017","09","A000369","Foreign Affairs"
"[""china""]","HAMDT","444","115","13/9/2017","2017","09","K000380","Commerce"
"[""china""]","HAMDT","445","115","13/9/2017","2017","09","J000032","Government Operations and Politics"
"[""china""]","HAMDT","453","115","4/10/2017","2017","10","G000551","Economics and Public Finance"
"[""china""]","HAMDT","454","115","4/10/2017","2017","10","S000185","Economics and Public Finance"
"[""china""]","HAMDT","469","115","1/11/2017","2017","11","K000389","Environmental Protection"
"[""china""]","HAMDT","470","115","1/11/2017","2017","11","O000171","Environmental Protection"
"[""china""]","HAMDT","471","115","1/11/2017","2017","11","C001097","Environmental Protection"
"[""china""]","HAMDT","472","115","1/11/2017","2017","11","D000191","Environmental Protection"
"[""china""]","HAMDT","473","115","1/11/2017","2017","11","L000578","Public Lands and Natural Resources"
"[""china""]","HAMDT","474","115","1/11/2017","2017","11","P000588","Public Lands and Natural Resources"
"[""china""]","HAMDT","487","115","29/11/2017","2017","11","G000551","Public Lands and Natural Resources"
"[""china""]","HAMDT","499","115","13/12/2017","2017","12","M001188","Foreign Affairs"
"[""china""]","HAMDT","501","115","13/12/2017","2017","12","G000578","Foreign Affairs"
"[""china""]","HAMDT","511","115","17/1/2018","2018","01","N000190","International Finance"
"[""china""]","HAMDT","512","115","17/1/2018","2018","01","C001078","International Finance"
"[""china""]","HAMDT","513","115","17/1/2018","2018","01","B001282","International Finance"
"[""china""]","HAMDT","547","115","26/4/2018","2018","04","S001154","National Security"
"[""china""]","HAMDT","548","115","26/4/2018","2018","04","R000580","Transportation and Public Works"
"[""china""]","HAMDT","549","115","26/4/2018","2018","04","D000612","National Security"
"[""china""]","HAMDT","550","115","26/4/2018","2018","04","S001154","National Security"
"[""china""]","HAMDT","551","115","26/4/2018","2018","04","H001077","National Security"
"[""china""]","HAMDT","552","115","26/4/2018","2018","04","D000191","National Security"
"[""china""]","HAMDT","553","115","26/4/2018","2018","04","C001068","National Security"
"[""china""]","HAMDT","554","115","26/4/2018","2018","04","B001248","National Security"
"[""china""]","HAMDT","555","115","26/4/2018","2018","04","P000593","National Security"
"[""china""]","HAMDT","556","115","26/4/2018","2018","04","R000409","National Security"
"[""china""]","HAMDT","557","115","26/4/2018","2018","04","K000362","National Security"
"[""china""]","HAMDT","558","115","26/4/2018","2018","04","S001154","National Security"
"[""china""]","HAMDT","559","115","26/4/2018","2018","04","B001292","National Security"
"[""china""]","HAMDT","560","115","26/4/2018","2018","04","S001172","National Security"
"[""china""]","HAMDT","561","115","26/4/2018","2018","04","L000587","National Security"
"[""china""]","HAMDT","562","115","26/4/2018","2018","04","L000563","National Security"
"[""china""]","HAMDT","563","115","26/4/2018","2018","04","D000612","National Security"
"[""china""]","HAMDT","564","115","26/4/2018","2018","04","G000582","National Security"
"[""china""]","HAMDT","565","115","26/4/2018","2018","04","C001105","National Security"
"[""china""]","HAMDT","566","115","26/4/2018","2018","04","L000562","National Security"
"[""china""]","HAMDT","567","115","26/4/2018","2018","04","M001188","National Security"
"[""china""]","HAMDT","568","115","26/4/2018","2018","04","Z000017","National Security"
"[""china""]","HAMDT","569","115","26/4/2018","2018","04","L000581","National Security"
"[""china""]","HAMDT","571","115","27/4/2018","2018","04","G000577","Emergency Management"
"[""china""]","HAMDT","572","115","27/4/2018","2018","04","G000577","Housing and Community Development"
"[""china""]","HAMDT","573","115","27/4/2018","2018","04","G000577","Emergency Management"
"[""china""]","HAMDT","574","115","27/4/2018","2018","04","B001291","Emergency Management"
"[""china""]","HAMDT","575","115","27/4/2018","2018","04","M001177","Government Operations and Politics"
"[""china""]","HAMDT","576","115","27/4/2018","2018","04","D000533","Government Operations and Politics"
"[""china""]","HAMDT","605","115","17/5/2018","2018","05","F000450","Agriculture and Food"
"[""china""]","HAMDT","606","115","17/5/2018","2018","05","C001062","Agriculture and Food"
"[""china""]","HAMDT","607","115","17/5/2018","2018","05","M001177","Agriculture and Food"
"[""china""]","HAMDT","608","115","17/5/2018","2018","05","L000585","Agriculture and Food"
"[""china""]","HAMDT","609","115","17/5/2018","2018","05","R000575","Agriculture and Food"
"[""china""]","HAMDT","610","115","17/5/2018","2018","05","F000464","Agriculture and Food"
"[""china""]","HAMDT","611","115","17/5/2018","2018","05","M001177","Agriculture and Food"
"[""china""]","HAMDT","613","115","17/5/2018","2018","05","M001193","Social Welfare"
"[""china""]","HAMDT","614","115","17/5/2018","2018","05","H001065","Social Welfare"
"[""china""]","HAMDT","615","115","17/5/2018","2018","05","G000582","Agriculture and Food"
"[""china""]","HAMDT","616","115","17/5/2018","2018","05","F000464","Government Operations and Politics"
"[""china""]","HAMDT","617","115","17/5/2018","2018","05","Y000033","Social Welfare"
"[""china""]","HAMDT","618","115","17/5/2018","2018","05","G000582","Agriculture and Food"
"[""china""]","HAMDT","619","115","17/5/2018","2018","05","B001302","Agriculture and Food"
"[""china""]","HAMDT","621","115","17/5/2018","2018","05","T000463","Agriculture and Food"
"[""china""]","HAMDT","622","115","17/5/2018","2018","05","S001196","Agriculture and Food"
"[""china""]","HAMDT","623","115","17/5/2018","2018","05","C001109","Agriculture and Food"
"[""china""]","HAMDT","625","115","18/5/2018","2018","05","S001196","Environmental Protection"
"[""china""]","HAMDT","626","115","18/5/2018","2018","05","F000464","Public Lands and Natural Resources"
"[""china""]","HAMDT","627","115","18/5/2018","2018","05","M001184","Agriculture and Food"
"[""china""]","HAMDT","628","115","18/5/2018","2018","05","C001106","Agriculture and Food"
"[""china""]","HAMDT","629","115","18/5/2018","2018","05","N000184","Agriculture and Food"
"[""china""]","HAMDT","630","115","18/5/2018","2018","05","R000580","Environmental Protection"
"[""china""]","HAMDT","631","115","18/5/2018","2018","05","J000299","Public Lands and Natural Resources"
"[""china""]","HAMDT","632","115","18/5/2018","2018","05","H001074","Public Lands and Natural Resources"
"[""china""]","HAMDT","633","115","18/5/2018","2018","05","B001299","Environmental Protection"
