rank_from_low,rank_from_high,percentile,ideology,id,bioguide_id,state,district,name,congress,chamber
36,65,35,0.380783089,412330,B001267,CO,,b'Bennet',118,senate
37,64,36,0.411129766,412390,C001088,DE,,b'Coons',118,senate
38,63,37,0.415967247,456797,H000273,CO,,b'Hickenlooper',118,senate
39,62,38,0.419265298,412321,W000805,VA,,b'Warner',118,senate
40,61,39,0.423615657,300019,C000174,DE,,b'Carper',118,senate
41,60,40,0.438616555,412715,R000608,NV,,b'Rosen',118,senate
42,59,41,0.465130322,456857,O000174,GA,,b'Ossoff',118,senate
43,58,42,0.480895532,412244,T000464,MT,,b'Tester',118,senate
44,57,43,0.481849395,456794,K000377,AZ,,b'Kelly',118,senate
45,56,44,0.49100765,300025,C001035,ME,,b'Collins',118,senate
46,55,45,0.510827656,412680,H001076,NH,,b'Hassan',118,senate
47,54,46,0.517541003,300075,M001153,AK,,b'Murkowski',118,senate
48,53,47,0.53240336,400361,S001150,CA,,b'Schiff',118,senate
49,52,48,0.538925707,412305,P000595,MI,,b'Peters',118,senate
50,51,49,0.539370519,412509,S001191,AZ,,b'Sinema',118,senate
51,50,50,0.543458927,412797,K000394,NJ,,b'Kim',118,senate
52,49,51,0.55313036,456858,W000790,GA,,b'Warnock',118,senate
53,48,52,0.663788566,412492,P000603,KY,,b'Paul',118,senate
54,47,53,0.68938527,412391,M001183,WV,,b'Manchin',118,senate
55,46,54,0.693878531,412841,R000615,UT,,b'Romney',118,senate
56,45,55,0.702081979,300048,G000386,IA,,b'Grassley',118,senate
57,44,56,0.704243701,300072,M000355,KY,,b'McConnell',118,senate
58,43,57,0.713765305,412428,Y000064,IN,,b'Young',118,senate
59,42,58,0.738275336,400040,B001236,AR,,b'Boozman',118,senate
60,41,59,0.748338828,400061,C001047,WV,,b'Capito',118,senate
61,40,60,0.748963022,400284,M000934,KS,,b'Moran',118,senate
62,39,61,0.764435392,412269,C001075,LA,,b'Cassidy',118,senate
63,38,62,0.765692323,300047,G000359,SC,,b'Graham',118,senate
64,37,63,0.767488017,412665,S001198,AK,,b'Sullivan',118,senate
65,36,64,0.769353744,412568,M001190,OK,,b'Mullin',118,senate
66,35,65,0.78683244,412668,T000476,NC,,b'Tillis',118,senate
67,34,66,0.7935679,412679,K000393,LA,,b'Kennedy',118,senate
68,33,67,0.794092399,412669,R000605,SD,,b'Rounds',118,senate
69,32,68,0.801372692,412496,J000293,WI,,b'Johnson',118,senate
70,31,69,0.806754887,400432,W000437,MS,,b'Wicker',118,senate
71,30,70,0.816007718,456876,V000137,OH,,b'Vance',118,senate
72,29,71,0.825231643,412471,S001184,SC,,b'Scott',118,senate
73,28,72,0.830544831,412667,E000295,IA,,b'Ernst',118,senate
