"GEO_ID","NAME","B15003_001E","B15003_001M","B15003_002E","B15003_002M","B15003_003E","B15003_003M","B15003_004E","B15003_004M","B15003_005E","B15003_005M","B15003_006E","B15003_006M","B15003_007E","B15003_007M","B15003_008E","B15003_008M","B15003_009E","B15003_009M","B15003_010E","B15003_010M","B15003_011E","B15003_011M","B15003_012E","B15003_012M","B15003_013E","B15003_013M","B15003_014E","B15003_014M","B15003_015E","B15003_015M","B15003_016E","B15003_016M","B15003_017E","B15003_017M","B15003_018E","B15003_018M","B15003_019E","B15003_019M","B15003_020E","B15003_020M","B15003_021E","B15003_021M","B15003_022E","B15003_022M","B15003_023E","B15003_023M","B15003_024E","B15003_024M","B15003_025E","B15003_025M",
"Geography","Geographic Area Name","Estimate!!Total:","Margin of Error!!Total:","Estimate!!Total:!!No schooling completed","Margin of Error!!Total:!!No schooling completed","Estimate!!Total:!!Nursery school","Margin of Error!!Total:!!Nursery school","Estimate!!Total:!!Kindergarten","Margin of Error!!Total:!!Kindergarten","Estimate!!Total:!!1st grade","Margin of Error!!Total:!!1st grade","Estimate!!Total:!!2nd grade","Margin of Error!!Total:!!2nd grade","Estimate!!Total:!!3rd grade","Margin of Error!!Total:!!3rd grade","Estimate!!Total:!!4th grade","Margin of Error!!Total:!!4th grade","Estimate!!Total:!!5th grade","Margin of Error!!Total:!!5th grade","Estimate!!Total:!!6th grade","Margin of Error!!Total:!!6th grade","Estimate!!Total:!!7th grade","Margin of Error!!Total:!!7th grade","Estimate!!Total:!!8th grade","Margin of Error!!Total:!!8th grade","Estimate!!Total:!!9th grade","Margin of Error!!Total:!!9th grade","Estimate!!Total:!!10th grade","Margin of Error!!Total:!!10th grade","Estimate!!Total:!!11th grade","Margin of Error!!Total:!!11th grade","Estimate!!Total:!!12th grade, no diploma","Margin of Error!!Total:!!12th grade, no diploma","Estimate!!Total:!!Regular high school diploma","Margin of Error!!Total:!!Regular high school diploma","Estimate!!Total:!!GED or alternative credential","Margin of Error!!Total:!!GED or alternative credential","Estimate!!Total:!!Some college, less than 1 year","Margin of Error!!Total:!!Some college, less than 1 year","Estimate!!Total:!!Some college, 1 or more years, no degree","Margin of Error!!Total:!!Some college, 1 or more years, no degree","Estimate!!Total:!!Associate's degree","Margin of Error!!Total:!!Associate's degree","Estimate!!Total:!!Bachelor's degree","Margin of Error!!Total:!!Bachelor's degree","Estimate!!Total:!!Master's degree","Margin of Error!!Total:!!Master's degree","Estimate!!Total:!!Professional school degree","Margin of Error!!Total:!!Professional school degree","Estimate!!Total:!!Doctorate degree","Margin of Error!!Total:!!Doctorate degree",
"5001600US3501","Congressional District 1 (116th Congress), New Mexico","484857","1796","6228","888","128","80","26","30","249","170","325","215","1154","331","475","239","1182","325","4737","859","1159","262","3763","540","5568","578","7026","802","9717","1041","8446","739","91344","2563","20181","1275","29834","1599","78979","2628","42581","1668","92859","2791","53367","1670","13307","936","12222","830",
"5001600US3502","Congressional District 2 (116th Congress), New Mexico","460998","1352","8662","957","133","98","148","109","258","146","1059","341","2917","504","1842","370","1453","323","12201","1265","2750","510","5886","657","11585","1141","10521","828","12936","1086","9018","885","106026","2916","25373","1447","32910","1651","75667","2636","39679","1718","59100","2312","31084","1769","5010","672","4780","586",
"5001600US3503","Congressional District 3 (116th Congress), New Mexico","480784","1907","4884","487","135","119","40","34","359","194","350","122","987","257","584","154","1107","258","4545","644","2117","343","5515","565","7872","731","10281","776","12100","827","6287","738","108203","2809","20271","1297","28054","1455","86493","2407","45288","1872","73579","2231","43020","1713","8952","771","9761","684",
"5001600US3601","Congressional District 1 (116th Congress), New York","516742","2579","7575","1121","28","33","38","32","161","89","261","134","693","312","661","286","1015","305","3222","715","542","235","3213","553","3799","517","3840","553","6234","860","9691","995","124964","3166","13936","985","30451","1237","56320","2293","51407","2131","107711","2263","66348","1978","15705","1289","8927","886",
"5001600US3602","Congressional District 2 (116th Congress), New York","510857","3725","18970","1693","272","189","56","46","200","113","432","127","1073","244","875","340","1914","492","3305","561","1548","368","3340","636","4133","713","3828","506","5341","746","13145","929","127083","3238","15554","1078","32061","1525","56743","2158","49849","1860","96151","2783","58976","2118","10832","917","5176","747",
"5001600US3603","Congressional District 3 (116th Congress), New York","527620","4209","10101","1252","161","89","40","45","83","58","198","106","892","293","874","383","1707","453","2536","479","1237","300","3163","465","2261","354","3271","518","2835","498","7768","797","82456","2814","9661","938","22244","1110","45401","1870","37869","1657","153260","2800","92084","2188","35424","1364","12094","828",
"5001600US3604","Congressional District 4 (116th Congress), New York","517950","2812","9781","959","93","68","146","152","417","159","611","197","1546","348","1214","354","1989","386","5082","637","2222","459","3884","544","4708","660","4350","632","4714","510","9776","931","105650","2801","12769","915","22713","1419","54117","2210","41950","1413","128508","2701","72762","1949","21388","1354","7560","796",
"5001600US3605","Congressional District 5 (116th Congress), New York","564200","5564","19094","1262","351","190","398","183","485","152","1054","268","2066","337","1737","386","4406","480","8904","859","2862","370","8105","801","7178","703","9884","1005","9314","839","18953","1186","131420","3411","33042","1618","26057","1428","79914","2333","46173","1912","97186","2794","43720","1901","8502","1072","3395","412",
"5001600US3606","Congressional District 6 (116th Congress), New York","562684","5860","24135","1812","165","80","281","110","574","260","940","308","2026","405","1161","322","3159","574","10231","1169","2899","698","7015","883","12762","1512","5614","569","4232","475","16050","1296","121250","3427","15050","1081","20815","1262","48958","1892","45820","1525","132789","3681","63387","2115","14760","1057","8611","934",
"5001600US3607","Congressional District 7 (116th Congress), New York","517187","5454","22125","1569","430","270","454","167","784","242","1304","320","3590","550","2663","500","4270","647","17449","1330","3842","567","9374","911","19902","1442","8315","946","10881","1086","19863","1514","98033","3104","17568","1366","16304","1216","40228","1658","25322","1348","120555","3273","54114","1831","14183","1206","5634","710",
