congress,committee_el,issue,total_mentions
116,Committee on Finance,health,18
116,"Committee on Health, Education, Labor, and Pensions","Art, Culture, Religion",18
117,NA,law,86
116,Committee on Rules and Administration,education,18
116,Select Committee on the Modernization of Congress,education,18
116,Committee on Energy and Natural Resources,"science, technology, communications",16
116,Committee on Finance,education,16
116,Committee on Homeland Security and Governmental Affairs,"science, technology, communications",16
116,Select Committee on the Modernization of Congress,labor and employment,16
116,Select Committee on the Modernization of Congress,law,16
116,Committee on Energy and Natural Resources,law,14
116,"Committee on Health, Education, Labor, and Pensions",law,14
116,"Committee on Health, Education, Labor, and Pensions",labor and employment,12
116,Committee on Homeland Security and Governmental Affairs,Crime and Law enforcement,12
116,Joint Committee on Taxation,law,12
116,Committee on Energy and Natural Resources,health,10
116,"Committee on Health, Education, Labor, and Pensions",education,10
116,Joint Committee on Taxation,"science, technology, communications",10
116,"Committee on Health, Education, Labor, and Pensions",Agriculture and Food,8
116,Joint Committee on Taxation,Crime and Law enforcement,8
116,Joint Committee on Taxation,education,8
116,Joint Committee on the Library,"Art, Culture, Religion",6
116,Joint Committee on the Library,labor and employment,6
116,Joint Committee on the Library,Commerce,4
116,Joint Committee on the Library,education,4
116,Joint Committee on the Library,health,4
116,Select Committee on the Climate Crisis,"Art, Culture, Religion",4
116,Select Committee on the Climate Crisis,health,4
116,Select Committee on the Climate Crisis,labor and employment,4
116,Select Committee on the Climate Crisis,"science, technology, communications",4
116,Select Committee on the Climate Crisis,Agriculture and Food,2
117,Committee on Armed Services,"Art, Culture, Religion",2026
117,Committee on Armed Services,law,1418
117,Committee on Foreign Affairs,"Art, Culture, Religion",1260
117,Committee on Appropriations,"Art, Culture, Religion",1110
117,Committee on Armed Services,"science, technology, communications",980
117,Committee on Armed Services,National Security,974
117,Committee on Armed Services,labor and employment,914
117,Committee on Agriculture,"Art, Culture, Religion",912
117,Committee on Foreign Affairs,law,912
117,Committee on Financial Services,"Art, Culture, Religion",844
117,Committee on Appropriations,law,830
117,Committee on Agriculture,law,664
117,Committee on Foreign Affairs,"science, technology, communications",620
117,Committee on Financial Services,law,612
