"GEO_ID","NAME","B01001_001E","B01001_001M","B01001_002E","B01001_002M","B01001_003E","B01001_003M","B01001_004E","B01001_004M","B01001_005E","B01001_005M","B01001_006E","B01001_006M","B01001_007E","B01001_007M","B01001_008E","B01001_008M","B01001_009E","B01001_009M","B01001_010E","B01001_010M","B01001_011E","B01001_011M","B01001_012E","B01001_012M","B01001_013E","B01001_013M","B01001_014E","B01001_014M","B01001_015E","B01001_015M","B01001_016E","B01001_016M","B01001_017E","B01001_017M","B01001_018E","B01001_018M","B01001_019E","B01001_019M","B01001_020E","B01001_020M","B01001_021E","B01001_021M","B01001_022E","B01001_022M","B01001_023E","B01001_023M","B01001_024E","B01001_024M","B01001_025E","B01001_025M","B01001_026E","B01001_026M","B01001_027E","B01001_027M","B01001_028E","B01001_028M","B01001_029E","B01001_029M","B01001_030E","B01001_030M","B01001_031E","B01001_031M","B01001_032E","B01001_032M","B01001_033E","B01001_033M","B01001_034E","B01001_034M","B01001_035E","B01001_035M","B01001_036E","B01001_036M","B01001_037E","B01001_037M","B01001_038E","B01001_038M","B01001_039E","B01001_039M","B01001_040E","B01001_040M","B01001_041E","B01001_041M","B01001_042E","B01001_042M","B01001_043E","B01001_043M","B01001_044E","B01001_044M","B01001_045E","B01001_045M","B01001_046E","B01001_046M","B01001_047E","B01001_047M","B01001_048E","B01001_048M","B01001_049E","B01001_049M",
"5001500US1218","Congressional District 18 (115th Congress), Florida","772184","9723","374656","6305","19401","1593","19317","2358","22319","2507","12946","1606","10351","1999","3432","1116","4528","1602","13146","1951","20116","2485","18065","1414","18422","2961","21908","2377","19897","1672","26699","1599","25155","2897","12933","1848","16942","2805","10394","1575","16374","1930","20794","1890","17442","2385","12442","1901","11633","2062","397528","7282","15705","1219","20170","2662","21700","2252","12976","1871","7369","1545","3657","1553","3961","1249","11029","2297","19435","1884","19381","1698","22084","2202","21051","2734","24316","1605","27966","1845","31648","3105","11398","1827","17268","2700","11111","1530","17791","1980","26634","2565","22311","2443","14006","1822","14561","2275",
"5001500US1219","Congressional District 19 (115th Congress), Florida","814074","10107","395125","5889","17437","1687","18177","1953","21311","2194","11283","869","7066","596","5880","2231","3926","1697","10305","2071","21395","1774","20390","1669","21884","2868","18734","2393","21231","1814","22600","1630","26997","1949","8982","1221","15429","1775","12130","1745","19562","2066","32780","2123","27750","2621","16647","1968","13229","2044","418949","6190","16480","1476","17149","1946","19470","1950","12516","1174","7437","1210","4619","1451","3403","1274","10720","1661","20343","1479","18512","1380","22680","2506","19754","2407","24100","1428","24788","1781","30618","2239","10649","1653","20721","2581","13359","1818","23423","2700","36490","2610","27733","2339","15996","1886","17989","2129",
"5001500US1220","Congressional District 20 (115th Congress), Florida","776092","15636","379149","9796","27555","2845","23939","3113","26114","3044","15282","2069","10569","1624","4019","1331","6983","2402","16993","2554","29891","3435","27445","3070","28867","3068","23415","2741","24422","2375","29290","2947","20322","2327","8626","1631","9398","1674","7319","1479","7555","1301","11860","1640","7997","1510","5141","1381","6147","1373","396943","9946","28657","3330","23835","3072","24390","3001","13209","1689","9234","1488","4939","1466","3724","1134","15190","2459","27250","3042","29199","2804","29006","2622","27272","3134","23189","2791","27623","2436","23561","2647","10033","1834","15651","2415","9203","1643","10958","1915","13511","1745","9579","1699","8013","1720","9717","1885",
"5001500US1221","Congressional District 21 (115th Congress), Florida","788240","12023","382985","7104","20835","1834","22743","2496","19955","2152","13521","1537","7247","1340","3511","1132","3128","944","12461","2061","22861","2515","25571","1964","22151","2335","23125","3251","27291","1801","23673","1840","26821","2709","9202","1722","12231","1633","8046","1309","14489","1737","18794","1675","18388","2029","12682","1532","14259","1714","405255","8321","20149","2138","20302","2740","18243","2469","13204","1608","7842","1267","4177","1490","3648","1305","11189","1730","23840","2413","22451","2124","23096","2208","20641","2218","25579","2061","27613","2104","26571","2547","10005","1146","14340","1926","10172","1586","17109","1824","25983","2516","24507","2911","14833","1948","19761","1855",
"5001500US1222","Congressional District 22 (115th Congress), Florida","757352","9766","375372","8116","16795","2252","18237","2339","20213","2216","11848","1677","8806","1302","3494","1135","3268","1102","11700","2127","24838","2763","23360","2830","22913","2253","23402","2776","25447","2329","26671","2539","33082","3153","12516","3268","14741","1934","9588","1796","13470","1625","18836","2221","13672","1761","7651","1296","10824","1280","381980","6855","17105","2467","18046","2657","21972","2616","11260","1432","7342","1500","4423","1194","3208","1005","12466","1921","24721","2968","22767","2780","23798","2663","21702","2533","27365","2600","27678","2532","28372","2620","11272","1598","15625","1919","10342","1938","13190","2125","19625","2372","13535","1633","10229","1491","15937","2050",
"5001500US1223","Congressional District 23 (115th Congress), Florida","753950","8787","360584","5448","22325","2495","23319","2649","22344","3040","16530","2244","7435","1294","6024","1511","2792","780","13751","2271","21463","2946","21739","2521","24218","3155","22573","2732","28018","2650","27503","2205","25936","2588","9426","1699","11606","2142","7756","1385","8986","1476","13413","1744","8645","1412","7641","1493","7141","1418","393366","7699","19870","2315","20595","2609","22123","2230","15584","1853","7693","1394","2712","1097","4828","1477","14013","2214","25325","2603","24209","2703","26481","2794","24623","2616","30163","2729","28278","2134","26951","2627","9718","1561","15495","2373","8611","1442","11837","1826","17039","2407","12065","1757","13077","2239","12076","1817",
"5001500US1224","Congressional District 24 (115th Congress), Florida","770480","17470","375065","11045","27340","3107","23984","2948","26490","2421","13966","1663","9200","1375","4352","1424","5429","1662","13525","2076","30549","2928","30406","3251","26136","2846","26609","3318","25195","2500","23922","2733","22728","2415","10057","1967","9764","1565","6858","1331","9013","1388","11597","2078","8850","1287","5598","1234","3497","1008","395415","10712","24801","2484","22552","2967","24501","2658","13703","1732","9025","978","4347","1265","4476","1462","14650","2124","29230","2658","28962","2362","29722","3154","27554","3270","28085","2457","25005","2234","27626","3324","8272","1342","14679","1892","8080","1239","10971","1849","14868","1972","9711","1477","7860","1353","6735","1170",
"5001500US1225","Congressional District 25 (115th Congress), Florida","780826","16644","382632","9764","20026","2596","22635","2593","21073","2483","11727","1403","8440","1419","5408","1358","4746","1180","13731","2222","23936","2770","26426","2823","22893","2590","26994","2782","28289","2959","31711","3070","30274","2811","9978","1956","11036","2039","7079","1488","9918","1558","16495","2536","14339","2255","8468","1569","7010","1616","398194","10688","21329","2609","20294","3251","21189","2535","11227","1632","8229","1417","5207","1448","5026","1644","13651","2163","26118","2905","27162","3113","21416","3080","23133","2527","27477","2466","32296","2512","27115","2759","10184","1769","13549","2254","9054","1587","14192","1991","21157","2624","15703","2281","11822","2035","11664","1771",
"5001500US1226","Congressional District 26 (115th Congress), Florida","797160","16602","392017","9205","21702","2820","23044","2910","23481","2409","17429","1789","10183","1509","6461","1326","6022","1429","18869","2971","29969","3106","28025","2988","28462","3367","27218","3101","26980","2317","33831","3281","22711","2329","7277","1483","12193","1785","8426","1476","9393","1495","11605","1944","8116","1607","6449","1361","4171","960","405143","12008","21105","3011","22456","3091","22347","2582","14434","2016","9536","1662","5495","1510","5781","1656","16155","2396","28351","2708","25289","2874","27550","3367","27511","2693","28667","2339","30109","2893","27108","2527","10217","1610","14284","1872","8863","1791","12243","1735","15514","2242","12466","1848","9506","1618","10156","1645",
"5001500US1227","Congressional District 27 (115th Congress), Florida","755809","17189","364683","11308","21585","2600","16295","2268","19181","2657","11860","1859","8260","1533","3880","1111","4540","1272","12825","2114","30103","3815","28556","2769","24461","2418","27506","2696","29966","3166","24162","2767","25529","3046","7693","1553","10885","1796","9008","1511","9850","1568","13723","1813","10984","1513","6098","1272","7733","1563","391126","8930","20994","2824","19298","2667","17191","2102","11885","1767","7117","1263","3031","1083","5534","1634","10857","1894","25927","2756","26824","2355","26203","2778","25518","2531","27997","2880","30226","2383","26850","2374","9816","1531","15116","1809","8178","1286","11081","1606","19460","2149","13108","1915","11557","1577","17358","2071",
