"GEO_ID","NAME","B19013_001E","B19013_001M",
"Geography","Geographic Area Name","Estimate!!Median household income in the past 12 months (in 2017 inflation-adjusted dollars)","Margin of Error!!Median household income in the past 12 months (in 2017 inflation-adjusted dollars)",
"5001500US2509","Congressional District 9 (115th Congress), Massachusetts","67064","865",
"5001500US2601","Congressional District 1 (115th Congress), Michigan","46722","461",
"5001500US2602","Congressional District 2 (115th Congress), Michigan","52919","657",
"5001500US2603","Congressional District 3 (115th Congress), Michigan","56063","658",
"5001500US2604","Congressional District 4 (115th Congress), Michigan","47910","462",
"5001500US2605","Congressional District 5 (115th Congress), Michigan","43583","541",
"5001500US2606","Congressional District 6 (115th Congress), Michigan","51189","547",
"5001500US2607","Congressional District 7 (115th Congress), Michigan","56536","672",
"5001500US2608","Congressional District 8 (115th Congress), Michigan","67499","733",
"5001500US2609","Congressional District 9 (115th Congress), Michigan","55369","657",
"5001500US2610","Congressional District 10 (115th Congress), Michigan","61055","679",
"5001500US2611","Congressional District 11 (115th Congress), Michigan","79781","712",
"5001500US2612","Congressional District 12 (115th Congress), Michigan","56293","616",
"5001500US2613","Congressional District 13 (115th Congress), Michigan","33455","499",
"5001500US2614","Congressional District 14 (115th Congress), Michigan","44197","734",
"5001500US2701","Congressional District 1 (115th Congress), Minnesota","59989","585",
"5001500US2702","Congressional District 2 (115th Congress), Minnesota","80403","882",
"5001500US2703","Congressional District 3 (115th Congress), Minnesota","85012","871",
"5001500US2704","Congressional District 4 (115th Congress), Minnesota","66041","689",
"5001500US2705","Congressional District 5 (115th Congress), Minnesota","58693","809",
"5001500US2706","Congressional District 6 (115th Congress), Minnesota","76698","806",
"5001500US2707","Congressional District 7 (115th Congress), Minnesota","54863","423",
"5001500US2708","Congressional District 8 (115th Congress), Minnesota","53950","496",
"5001500US2801","Congressional District 1 (115th Congress), Mississippi","44819","534",
"5001500US2802","Congressional District 2 (115th Congress), Mississippi","34074","706",
"5001500US2803","Congressional District 3 (115th Congress), Mississippi","44530","767",
"5001500US2804","Congressional District 4 (115th Congress), Mississippi","44782","719",
"5001500US2901","Congressional District 1 (115th Congress), Missouri","43445","548",
"5001500US2902","Congressional District 2 (115th Congress), Missouri","79339","1003",
"5001500US2903","Congressional District 3 (115th Congress), Missouri","60476","670",
"5001500US2904","Congressional District 4 (115th Congress), Missouri","48015","645",
"5001500US2905","Congressional District 5 (115th Congress), Missouri","48178","575",
"5001500US2906","Congressional District 6 (115th Congress), Missouri","57614","637",
"5001500US2907","Congressional District 7 (115th Congress), Missouri","44601","550",
"5001500US2908","Congressional District 8 (115th Congress), Missouri","40529","476",
"5001500US3000","Congressional District (at Large) (115th Congress), Montana","50801","479",
"5001500US3101","Congressional District 1 (115th Congress), Nebraska","57047","590",
"5001500US3102","Congressional District 2 (115th Congress), Nebraska","62572","816",
"5001500US3103","Congressional District 3 (115th Congress), Nebraska","51735","462",
"5001500US3201","Congressional District 1 (115th Congress), Nevada","40225","553",
"5001500US3202","Congressional District 2 (115th Congress), Nevada","58607","890",
"5001500US3203","Congressional District 3 (115th Congress), Nevada","67191","845",
"5001500US3204","Congressional District 4 (115th Congress), Nevada","56603","632",
"5001500US3301","Congressional District 1 (115th Congress), New Hampshire","72003","917",
"5001500US3302","Congressional District 2 (115th Congress), New Hampshire","70531","967",
"5001500US3401","Congressional District 1 (115th Congress), New Jersey","67666","861",
"5001500US3402","Congressional District 2 (115th Congress), New Jersey","62007","810",
"5001500US3403","Congressional District 3 (115th Congress), New Jersey","77540","945",
"5001500US3404","Congressional District 4 (115th Congress), New Jersey","80949","1187",
"5001500US3405","Congressional District 5 (115th Congress), New Jersey","98863","1295",
"5001500US3406","Congressional District 6 (115th Congress), New Jersey","80087","1125",
"5001500US3407","Congressional District 7 (115th Congress), New Jersey","109061","1381",
"5001500US3408","Congressional District 8 (115th Congress), New Jersey","57012","820",
"5001500US3409","Congressional District 9 (115th Congress), New Jersey","64936","878",
"5001500US3410","Congressional District 10 (115th Congress), New Jersey","50413","775",
"5001500US3411","Congressional District 11 (115th Congress), New Jersey","107027","1035",
"5001500US3412","Congressional District 12 (115th Congress), New Jersey","83770","1115",
"5001500US3501","Congressional District 1 (115th Congress), New Mexico","49277","779",
"5001500US3502","Congressional District 2 (115th Congress), New Mexico","42508","664",
"5001500US3503","Congressional District 3 (115th Congress), New Mexico","48925","791",
"5001500US3601","Congressional District 1 (115th Congress), New York","90378","1287",
"5001500US3602","Congressional District 2 (115th Congress), New York","94336","1235",
"5001500US3603","Congressional District 3 (115th Congress), New York","108136","1488",
"5001500US3604","Congressional District 4 (115th Congress), New York","100387","1561",
"5001500US3605","Congressional District 5 (115th Congress), New York","66094","950",
"5001500US3606","Congressional District 6 (115th Congress), New York","61648","707",
"5001500US3607","Congressional District 7 (115th Congress), New York","52724","845",
"5001500US3608","Congressional District 8 (115th Congress), New York","49556","1003",
"5001500US3609","Congressional District 9 (115th Congress), New York","53047","896",
"5001500US3610","Congressional District 10 (115th Congress), New York","87826","1975",
"5001500US3611","Congressional District 11 (115th Congress), New York","69192","1141",
"5001500US3612","Congressional District 12 (115th Congress), New York","100828","1724",
"5001500US3613","Congressional District 13 (115th Congress), New York","39490","876",
"5001500US3614","Congressional District 14 (115th Congress), New York","54753","839",
"5001500US3615","Congressional District 15 (115th Congress), New York","27351","581",
"5001500US3616","Congressional District 16 (115th Congress), New York","68246","954",
"5001500US3617","Congressional District 17 (115th Congress), New York","95454","1402",
"5001500US3618","Congressional District 18 (115th Congress), New York","82543","1213",
"5001500US3619","Congressional District 19 (115th Congress), New York","60494","587",
"5001500US3620","Congressional District 20 (115th Congress), New York","64154","813",
"5001500US3621","Congressional District 21 (115th Congress), New York","53402","506",
"5001500US3622","Congressional District 22 (115th Congress), New York","51482","553",
"5001500US3623","Congressional District 23 (115th Congress), New York","49433","594",
"5001500US3624","Congressional District 24 (115th Congress), New York","55603","679",
"5001500US3625","Congressional District 25 (115th Congress), New York","54715","649",
"5001500US3626","Congressional District 26 (115th Congress), New York","47127","697",
"5001500US3627","Congressional District 27 (115th Congress), New York","63010","707",
"5001500US3701","Congressional District 1 (115th Congress), North Carolina","41998","540",
"5001500US3702","Congressional District 2 (115th Congress), North Carolina","64502","902",
"5001500US3703","Congressional District 3 (115th Congress), North Carolina","48484","587",
