"full_name","congress","importance_intl","importance_dom","importance_prof","pred","intl_percentage","dom_percentage","prof_percentage","decision","party","chamber","committee_el","gender","age","seniority","ideology","district","state_code","bioguide_id"
"Rep. Bera, Ami [D-CA-6]","118",12.1117,31.4187,28.958,0.145738856751462,0.167085817081196,0.433433717903264,0.399487362718468,"dom","Democratic","house of representatives","Permanent Select Committee on Intelligence","Male",59,10,0.349465597399333,"6","CA","B001287"
"Rep. Bergman, Jack [R-MI-1]","116",9.0255,34.9139,25.6013,0.181504815108291,0.129787304413099,0.502064258772201,0.3681484368147,"dom","Republican","house of representatives","Committee on Armed Services","Male",77,2,0.673174675098906,"1","MI","B001301"
"Rep. Bergman, Jack [R-MI-1]","118",11.0731,32.4398,26.184,0.179944739537019,0.158874843967459,0.465440406330258,0.375683314920298,"dom","Republican","house of representatives","Committee on Armed Services","Male",77,6,0.677603671913228,"1","MI","B001301"
"Rep. Beyer, Donald S. [D-VA-8]","115",11.8716,24.8415,26.8367,0.136838610405309,0.186808414215038,0.390899391970996,0.42229534096202,"prof","Democratic","house of representatives","Committee on Natural Resources","Male",74,2,0.242568128976142,"8","VA","B001292"
"Rep. Beyer, Donald S. [D-VA-8]","116",11.1166,23.39,25.4729,0.123088270817121,0.185340300169725,0.389967222079581,0.42469414498978,"prof","Democratic","house of representatives","Committee on Science, Space, and Technology","Male",74,4,0.248257117505797,"8","VA","B001292"
"Rep. Beyer, Donald S. [D-VA-8]","117",14.0153,27.2314,29.5327,0.104930861488228,0.198012989600126,0.384734606108814,0.417248165787648,"prof","Democratic","house of representatives","Joint Economic Committee","Male",74,6,0.14354283233982,"8","VA","B001292"
"Rep. Beyer, Donald S. [D-VA-8]","118",13.953,25.5786,28.4803,0.119093945600212,0.20515587759165,0.376091172548253,0.4187558905306,"prof","Democratic","house of representatives","Committee on Ways and Means","Male",74,8,0.225829294176251,"8","VA","B001292"
"Rep. Bice, Stephanie I. [R-OK-5]","117",12.8192,29.7317,28.6832,0.159449972098979,0.17995976623424,0.417382502944533,0.402663346140942,"dom","Republican","house of representatives","Committee on Armed Services","Female",51,0,0.617712587189856,"5","OK","B000740"
"Rep. Bice, Stephanie I. [R-OK-5]","118",11.6219,35.1094,28.9566,0.137691319782661,0.153551520532507,0.46387438843769,0.382582018383533,"dom","Republican","house of representatives","Committee on Appropriations","Female",51,2,0.718002154331191,"5","OK","B000740"
"Rep. Biggs, Andy [R-AZ-5]","115",9.6424,34.8275,21.7892,0.179130725527967,0.145522816040954,0.525615601475391,0.328841962922047,"dom","Republican","house of representatives","Committee on the Judiciary","Male",66,0,0.877295335307143,"5","AZ","B001302"
