"congress","committee_el","issue","total_mentions"
117,"Committee on Foreign Affairs","Foreign Affairs",153
117,"Committee on Foreign Relations","Foreign Affairs",57
117,"Committee on Health, Education, Labor, and Pensions","Congressional political operations",2
117,"Committee on Homeland Security","Foreign Affairs",29
117,"Committee on Homeland Security and Governmental Affairs","Foreign Affairs",19
117,"Committee on House Administration","Congressional political operations",3
117,"Committee on Indian Affairs","Foreign Affairs",17
117,"Committee on Natural Resources","Foreign Affairs",41
117,"Committee on Oversight and Accountability","Foreign Affairs",92
117,"Committee on Rules","Armed Forces",3
117,"Committee on Rules and Administration","Foreign Affairs",51
117,"Committee on Science, Space, and Technology","Foreign Affairs",38
117,"Committee on Small Business","Foreign Affairs",15
117,"Committee on Small Business and Entrepreneurship","Foreign Affairs",21
117,"Committee on Transportation and Infrastructure","Foreign Affairs",76
117,"Committee on Veterans' Affairs","Foreign Affairs",44
117,"Committee on Ways and Means","Foreign Affairs",49
117,"Committee on the Budget","Foreign Affairs",129
117,"Committee on the Judiciary","Foreign Affairs",48
117,"Joint Committee on Printing","Foreign Affairs",15
117,"Joint Committee on Taxation","Foreign Affairs",17
117,"Joint Committee on the Library","Economics and Public Finance",7
117,"Joint Economic Committee","Foreign Affairs",84
117,"Permanent Select Committee on Intelligence","Foreign Affairs",27
117,"Select Committee on Economic Disparity and Fairness in Growth","Civil Rights and Liberties, Minority Issues",4
117,"Select Committee on Ethics","Armed Forces",3
117,"Select Committee on Intelligence","Foreign Affairs",83
117,"Select Committee on the Climate Crisis","Foreign Affairs",32
117,"Select Committee on the Modernization of Congress","Foreign Affairs",27
117,"Select Committee to Investigate the January 6th Attack on the United States Capitol","Congressional political operations",7
117,"Select Subcommittee on the Coronavirus Pandemic","Foreign Affairs",27
117,"Special Committee on Aging","Foreign Affairs",23
117,NA,"Foreign Affairs",428
118,"Committee on Agriculture","Government Operations and Politics",55
118,"Committee on Agriculture, Nutrition, and Forestry","Government Operations and Politics",119
118,"Committee on Appropriations","Government Operations and Politics",87
118,"Committee on Armed Services","Government Operations and Politics",151
118,"Committee on Banking, Housing, and Urban Affairs","Government Operations and Politics",44
118,"Committee on Commerce, Science, and Transportation","Government Operations and Politics",25
118,"Committee on Education and the Workforce","Government Operations and Politics",23
118,"Committee on Energy and Commerce","Government Operations and Politics",77
118,"Committee on Energy and Natural Resources","Foreign Affairs",13
118,"Committee on Environment and Public Works","Alliance and Collective Security",3
118,"Committee on Ethics","Congressional political operations",3
118,"Committee on Finance","Foreign Affairs",13
118,"Committee on Financial Services","Government Operations and Politics",53
118,"Committee on Foreign Affairs","Foreign Affairs",23
118,"Committee on Foreign Relations","Government Operations and Politics",26
118,"Committee on Health, Education, Labor, and Pensions","Government Operations and Politics",23
118,"Committee on Homeland Security","Government Operations and Politics",27
118,"Committee on Homeland Security and Governmental Affairs","Government Operations and Politics",4
118,"Committee on House Administration","Congressional political operations",3
118,"Committee on Indian Affairs","Foreign Affairs",8
118,"Committee on Natural Resources","Foreign Affairs",44
118,"Committee on Oversight and Accountability","Foreign Affairs",12
118,"Committee on Rules","Government Operations and Politics",20
118,"Committee on Rules and Administration","Agriculture and Food",1
118,"Committee on Science, Space, and Technology","Government Operations and Politics",41
118,"Committee on Small Business","Government Operations and Politics",3
118,"Committee on Small Business and Entrepreneurship","Foreign Affairs",7
118,"Committee on Transportation and Infrastructure","Government Operations and Politics",36
118,"Committee on Veterans' Affairs","Congressional political operations",11
118,"Committee on Ways and Means","Government Operations and Politics",110
118,"Committee on the Budget","Government Operations and Politics",29
118,"Committee on the Judiciary","Government Operations and Politics",52
118,"Joint Committee on Printing","Foreign Affairs",15
118,"Joint Committee on the Library","Government Operations and Politics",39
118,"Joint Economic Committee","Government Operations and Politics",53
118,"Permanent Select Committee on Intelligence","Government Operations and Politics",9
118,"Select Committee on Ethics","Immigration",4
118,"Select Committee on Intelligence","Foreign Affairs",54
118,"Select Committee on the Strategic Competition Between the United States and the Chinese Communist Party","Foreign Affairs",27
118,"Select Subcommittee on the Coronavirus Pandemic","Alliance and Collective Security",1
118,"Select Subcommittee on the Weaponization of the Federal Government","Government Operations and Politics",4
118,"Special Committee on Aging","Government Operations and Politics",23
118,NA,"Foreign Affairs",315
