"GEO_ID","NAME","B01001_001E","B01001_001M","B01001_002E","B01001_002M","B01001_003E","B01001_003M","B01001_004E","B01001_004M","B01001_005E","B01001_005M","B01001_006E","B01001_006M","B01001_007E","B01001_007M","B01001_008E","B01001_008M","B01001_009E","B01001_009M","B01001_010E","B01001_010M","B01001_011E","B01001_011M","B01001_012E","B01001_012M","B01001_013E","B01001_013M","B01001_014E","B01001_014M","B01001_015E","B01001_015M","B01001_016E","B01001_016M","B01001_017E","B01001_017M","B01001_018E","B01001_018M","B01001_019E","B01001_019M","B01001_020E","B01001_020M","B01001_021E","B01001_021M","B01001_022E","B01001_022M","B01001_023E","B01001_023M","B01001_024E","B01001_024M","B01001_025E","B01001_025M","B01001_026E","B01001_026M","B01001_027E","B01001_027M","B01001_028E","B01001_028M","B01001_029E","B01001_029M","B01001_030E","B01001_030M","B01001_031E","B01001_031M","B01001_032E","B01001_032M","B01001_033E","B01001_033M","B01001_034E","B01001_034M","B01001_035E","B01001_035M","B01001_036E","B01001_036M","B01001_037E","B01001_037M","B01001_038E","B01001_038M","B01001_039E","B01001_039M","B01001_040E","B01001_040M","B01001_041E","B01001_041M","B01001_042E","B01001_042M","B01001_043E","B01001_043M","B01001_044E","B01001_044M","B01001_045E","B01001_045M","B01001_046E","B01001_046M","B01001_047E","B01001_047M","B01001_048E","B01001_048M","B01001_049E","B01001_049M",
"5001800US1307","Congressional District 7 (118th Congress), Georgia","778113","12951","380630","7856","23669","1972","29460","2995","26677","3119","19789","1634","9921","832","3564","1000","6100","1589","15888","1759","26065","1720","25698","1437","25164","2423","26377","2824","24526","1933","26670","1716","25738","2373","9374","1626","12986","1954","6668","1197","11107","1707","11499","1493","8004","1047","3173","841","2513","588","397483","7276","24101","1359","24526","2392","30977","2772","16986","1654","9804","1139","4451","1133","4445","1484","18139","2079","26489","1496","26363","1978","24305","2518","28426","2267","28734","1570","29347","1887","26151","2138","10171","1491","12805","1672","7756","1346","10489","1558","13628","1563","10033","1227","4775","997","4582","956",
"5001800US1308","Congressional District 8 (118th Congress), Georgia","778270","7756","382024","4977","23534","2273","26587","2576","27965","3456","18398","2249","10356","2076","6255","1262","4381","1296","14353","2028","24138","2298","24711","1971","26677","3013","23880","3012","23021","2025","23313","1930","20153","2080","10510","1669","14781","1776","10465","1399","10652","1610","15736","1563","12916","1111","5601","1132","3641","880","396246","5341","21001","1816","24422","2737","26499","2729","16274","1893","10811","1769","5527","1393","5352","1664","17293","1759","21111","1777","26971","2322","28543","2719","26708","2960","23846","2016","20976","1874","22979","1934","9245","1691","15245","1870","8995","1308","12620","1783","19845","2109","14483","1559","8716","1207","8784","1362",
"5001800US1309","Congressional District 9 (118th Congress), Georgia","810092","13174","400097","7679","21593","2164","27125","3025","26582","2467","17752","1395","10728","919","6037","1319","7108","1579","15379","1546","23251","2002","22547","1576","22502","2233","27287","2899","24898","2075","28235","1904","25526","2662","9792","1615","16054","1768","9227","1283","14147","1552","17715","1598","13413","1158","8297","1078","4902","891","409995","7639","19690","1677","23412","2747","26488","2743","18740","2017","11998","1204","5037","918","5219","993","13973","1995","21133","1886","22848","2022","24764","2471","29911","2560","25467","1775","26510","1596","26090","1928","11839","1766","17712","1750","10940","1689","12315","1446","22943","1705","15803","1647","10581","1296","6582","1121",
"5001800US1310","Congressional District 10 (118th Congress), Georgia","833978","9499","408810","6146","24708","2317","28308","3075","26754","3105","19472","1975","15052","1759","5741","1448","10042","2109","19320","2063","26329","1911","27220","1839","24298","2206","26030","2532","22028","1599","29466","2449","23649","2094","9770","1522","12857","1632","7712","1208","12201","1322","16791","1651","10892","907","6282","1047","3888","761","425168","6288","20861","1784","25903","3055","26904","2747","17002","2193","14097","2137","8373","1634","6432","1564","16498","2166","28239","2128","29363","2359","30011","2325","27001","2608","25787","2029","26703","1901","24034","1916","9945","1646","17322","1927","9513","1441","13969","1844","18476","1828","14672","1495","7267","1031","6796","1250",
"5001800US1311","Congressional District 11 (118th Congress), Georgia","791779","10798","386371","6899","22200","1593","21797","2545","25162","3038","18690","1705","11635","1602","5521","1377","3543","1048","19252","2345","26214","2092","30631","1923","27044","2701","26711","2695","24646","1739","26981","1847","22303","1858","9381","1743","13112","1837","8256","1062","10159","1583","14364","1606","10332","1059","5552","761","2885","856","405408","6546","23368","1752","22395","2322","22974","2527","15639","1596","10248","1644","4963","1138","5435","1512","17047","2090","30314","1883","30164","1860","29369","2673","27242","2760","25756","1883","27045","1831","23686","2492","10372","1623","13820","1855","7515","1236","12709","1362","16496","1801","14439","1457","6810","1190","7602","1319",
"5001800US1312","Congressional District 12 (118th Congress), Georgia","779898","4033","382483","3604","20635","1825","24531","2590","28285","2538","18025","2095","13189","1893","9187","2105","6118","1467","16361","2225","26034","2212","26539","1894","26402","2709","22459","2516","22987","1983","21573","1775","23115","2244","8589","1515","12869","1549","8531","1306","12096","1490","16197","1525","8928","1127","6313","995","3520","857","397415","2950","23495","1402","24991","2234","22479","2249","16051","1533","12249","2036","6987","1447","5189","1373","15984","2110","23279","2150","27700","1698","27177","2961","25340","2783","22904","1849","22000","1285","22553","2036","9348","1509","17489","1764","10314","1467","13191","1412","19457","1832","14197","1722","7939","1305","7102","1270",
"5001800US1313","Congressional District 13 (118th Congress), Georgia","773905","14243","364768","8561","24231","2780","25870","3507","29675","4049","17526","2090","9950","1713","6358","1592","3694","1315","14838","2075","26592","2542","26703","2768","24628","3026","24404","2981","24900","2460","21599","2043","22332","2785","7435","1917","13472","2148","7262","1653","9214","1792","10608","1656","7826","1517","3075","835","2576","938","409137","9002","21952","2457","25756","3503","26279","3961","20087","2427","5724","1464","4515","1564","7195","2001","17154","2438","28783","3028","30147","3305","26225","3413","28747","3716","28962","2628","30509","2660","26138","2742","10081","1676","12779","2065","9224","1623","12057","1694","16616","2371","10653","1715","4269","1069","5285","1098",
"5001800US1314","Congressional District 14 (118th Congress), Georgia","796193","7923","396192","5101","23655","2189","26235","2416","29353","2853","18758","1485","10660","1652","4969","1332","5246","1265","14418","1769","26375","2090","27182","1955","27216","2914","23799","2450","23193","1623","27050","1677","26437","2161","12383","1831","13705","1668","9172","1399","10413","1309","14767","1809","10400","1047","5649","1003","5157","953","400001","4608","20218","1726","23529","2496","27379","2520","16629","1514","12176","1780","5868","1481","4538","956","12619","1546","22273","1305","26961","1789","23957","2541","28236","2531","26229","1519","28340","1527","27665","2208","8735","1450","13981","1802","9567","1810","12842","1367","19109","1820","14328","1553","8282","1305","6540","953",
"5001800US1501","Congressional District 1 (118th Congress), Hawaii","723269","10952","360404","6331","18940","1391","20809","2426","20347","1870","12176","725","7286","962","3163","884","3739","914","15792","1460","25766","1451","26229","1464","24968","2384","25816","2316","22481","943","23277","1024","21614","1592","10733","1575","12634","1278","8187","1157","11977","1403","15967","1609","13397","1183","8287","989","6819","950","362865","5551","18221","1395","18955","2244","21220","2134","11902","917","8297","824","4891","1046","4642","1020","9681","1241","23373","1268","26702","1156","24958","2052","21552","1823","21694","1054","21839","1319","21241","1560","7664","1130","14087","1404","9307","1433","11308","1286","19139","1555","17842","1491","10423","1299","13927","1587",
"5001800US1502","Congressional District 2 (118th Congress), Hawaii","711869","10952","358736","6540","20363","1601","20144","2196","26100","2494","12108","866","8631","1447","4917","1057","5073","1047","16085","1688","18455","1897","25075","2041","22331","2265","24824","2416","18523","1362","19395","1102","19705","1710","8823","1315","13672","1528","9817","1498","12397","1704","21469","1726","15507","1577","9443","1504","5879","1022","353133","5687","19896","1634","20955","2226","20515","2027","11236","1199","6407","1058","3914","945","3082","1007","10754","1265","19013","1615","21140","1356","21960","1992","26107","2557","19436","1046","20879","1414","22343","1637","9255","1283","13981","1634","11109","1450","13632","1736","21897","1743","15580","1625","10716","1518","9326","1289",
