"member_id","gender","congress","thomas_id_list","thomas_num_list","official_name_list"
"H001069","F","114","[SLIA,SSAF,SSBK,SSGA,SSSB]","[00]","[""Committee on Agriculture, Nutrition, and Forestry"",""Committee on Banking, Housing, and Urban Affairs"",""Committee on Homeland Security and Governmental Affairs"",""Committee on Indian Affairs"",""Committee on Small Business and Entrepreneurship""]"
"H001070","M","114","[HSII,HSPW,HSSM]","[00]","[""Committee on Natural Resources"",""Committee on Small Business"",""Committee on Transportation and Infrastructure""]"
"H001071","M","114","[HSGO,HSII]","[00]","[""Committee on Natural Resources"",""Committee on Oversight and Accountability""]"
"H001071","M","115","[HSAS,HSGO,HSII]","[00]","[""Committee on Armed Services"",""Committee on Natural Resources"",""Committee on Oversight and Accountability""]"
"H001071","M","116","[HSGO,HSII]","[00]","[""Committee on Natural Resources"",""Committee on Oversight and Accountability""]"
"H001071","M","117","[HSGO,HSII]","[00]","[""Committee on Natural Resources"",""Committee on Oversight and Accountability""]"
"H001072","M","114","[HSBA]","[00]","[""Committee on Financial Services""]"
"H001072","M","115","[HSBA]","[00]","[""Committee on Financial Services""]"
"H001072","M","116","[HSBA]","[00]","[""Committee on Financial Services""]"
"H001072","M","117","[HSBA]","[00]","[""Committee on Financial Services""]"
"H001072","M","118","[HLIG,HSBA,HSFA]","[00]","[""Committee on Financial Services"",""Committee on Foreign Affairs"",""Permanent Select Committee on Intelligence""]"
"H001072","M","119","[HLIG,HSBA]","[00]","[""Committee on Financial Services"",""Permanent Select Committee on Intelligence""]"
"H001073","M","114","[HSGO,HSHM]","[00]","[""Committee on Homeland Security"",""Committee on Oversight and Accountability""]"
"H001073","M","115","[HLIG,HSGO,HSHM]","[00]","[""Committee on Homeland Security"",""Committee on Oversight and Accountability"",""Permanent Select Committee on Intelligence""]"
"H001073","M","116","[HLIG,HSAP]","[00]","[""Committee on Appropriations"",""Permanent Select Committee on Intelligence""]"
"H001074","M","115","[HSBA]","[00]","[""Committee on Financial Services""]"
"H001074","M","116","[HSBA]","[00]","[""Committee on Financial Services""]"
"H001074","M","117","[HSBA]","[00]","[""Committee on Financial Services""]"
"H001075","F","115","[SLIN,SSBU,SSGA,SSJU]","[00]","[""Committee on Homeland Security and Governmental Affairs"",""Committee on the Budget"",""Committee on the Judiciary"",""Select Committee on Intelligence""]"
"H001075","F","116","[SLIN,SSBU,SSGA,SSJU]","[00]","[""Committee on Homeland Security and Governmental Affairs"",""Committee on the Budget"",""Committee on the Judiciary"",""Select Committee on Intelligence""]"
"H001076","F","115","[JSEC,SSCM,SSGA,SSHR]","[00]","[""Committee on Commerce, Science, and Transportation"",""Committee on Health, Education, Labor, and Pensions"",""Committee on Homeland Security and Governmental Affairs"",""Joint Economic Committee""]"
"H001076","F","116","[JSEC,SSFI,SSGA,SSHR]","[00]","[""Committee on Finance"",""Committee on Health, Education, Labor, and Pensions"",""Committee on Homeland Security and Governmental Affairs"",""Joint Economic Committee""]"
"H001076","F","117","[JSEC,SCNC,SSFI,SSGA,SSHR,SSVA]","[00]","[""Committee on Finance"",""Committee on Health, Education, Labor, and Pensions"",""Committee on Homeland Security and Governmental Affairs"",""Committee on Veterans' Affairs"",""Joint Economic Committee"",""United States Senate Caucus on International Narcotics Control""]"
"H001076","F","118","[JSEC,SCNC,SSFI,SSGA,SSHR,SSVA]","[00]","[""Committee on Finance"",""Committee on Health, Education, Labor, and Pensions"",""Committee on Homeland Security and Governmental Affairs"",""Committee on Veterans' Affairs"",""Joint Economic Committee"",""United States Senate Caucus on International Narcotics Control""]"
"H001076","F","119","[JSEC,SSFI,SSGA,SSHR,SSVA]","[00]","[""Committee on Finance"",""Committee on Health, Education, Labor, and Pensions"",""Committee on Homeland Security and Governmental Affairs"",""Committee on Veterans' Affairs"",""Joint Economic Committee""]"
"H001077","M","115","[HSHM,HSSY,HSVR]","[00]","[""Committee on Homeland Security"",""Committee on Science, Space, and Technology"",""Committee on Veterans' Affairs""]"
"H001077","M","116","[HSGO,HSHM]","[00]","[""Committee on Homeland Security"",""Committee on Oversight and Accountability""]"
"H001077","M","117","[HSGO,HSHM]","[00]","[""Committee on Homeland Security"",""Committee on Oversight and Accountability""]"
"H001077","M","118","[HSGO,HSHM]","[00]","[""Committee on Homeland Security"",""Committee on Oversight and Accountability""]"
"H001077","M","119","[HSAS,HSGO]","[00]","[""Committee on Armed Services"",""Committee on Oversight and Accountability""]"
"H001079","F","115","[SSAF,SSAP,SSRA]","[00]","[""Committee on Agriculture, Nutrition, and Forestry"",""Committee on Appropriations"",""Committee on Rules and Administration""]"
"H001079","F","116","[SSAF,SSAP,SSEG,SSRA]","[00]","[""Committee on Agriculture, Nutrition, and Forestry"",""Committee on Appropriations"",""Committee on Energy and Natural Resources"",""Committee on Rules and Administration""]"
"H001079","F","117","[SSAF,SSAP,SSEG,SSRA]","[00]","[""Committee on Agriculture, Nutrition, and Forestry"",""Committee on Appropriations"",""Committee on Energy and Natural Resources"",""Committee on Rules and Administration""]"
"H001079","F","118","[JSLC,SSAF,SSAP,SSEG,SSRA]","[00]","[""Committee on Agriculture, Nutrition, and Forestry"",""Committee on Appropriations"",""Committee on Energy and Natural Resources"",""Committee on Rules and Administration"",""Joint Committee on the Library""]"
"H001079","F","119","[JSLC,SSAF,SSAP,SSEG,SSRA]","[00]","[""Committee on Agriculture, Nutrition, and Forestry"",""Committee on Appropriations"",""Committee on Energy and Natural Resources"",""Committee on Rules and Administration"",""Joint Committee on the Library""]"
"H001080","F","116","[HSAS,HSII]","[00]","[""Committee on Armed Services"",""Committee on Natural Resources""]"
"H001081","F","116","[HSAG,HSED]","[00]","[""Committee on Agriculture"",""Committee on Education and the Workforce""]"
"H001081","F","117","[HSAG,HSED]","[00]","[""Committee on Agriculture"",""Committee on Education and the Workforce""]"
"H001081","F","118","[HSAG,HSED]","[00]","[""Committee on Agriculture"",""Committee on Education and the Workforce""]"
"H001081","F","119","[HSAG,HSED]","[00]","[""Committee on Agriculture"",""Committee on Education and the Workforce""]"
"H001082","M","116","[HSBU,HSII,HSSM]","[00]","[""Committee on Natural Resources"",""Committee on Small Business"",""Committee on the Budget""]"
"H001082","M","117","[HSWM]","[00]","[""Committee on Ways and Means""]"
"H001082","M","118","[HSWM]","[00]","[""Committee on Ways and Means""]"
"H001082","M","119","[HSWM]","[00]","[""Committee on Ways and Means""]"
