"GEO_ID","NAME","B15003_001E","B15003_001M","B15003_002E","B15003_002M","B15003_003E","B15003_003M","B15003_004E","B15003_004M","B15003_005E","B15003_005M","B15003_006E","B15003_006M","B15003_007E","B15003_007M","B15003_008E","B15003_008M","B15003_009E","B15003_009M","B15003_010E","B15003_010M","B15003_011E","B15003_011M","B15003_012E","B15003_012M","B15003_013E","B15003_013M","B15003_014E","B15003_014M","B15003_015E","B15003_015M","B15003_016E","B15003_016M","B15003_017E","B15003_017M","B15003_018E","B15003_018M","B15003_019E","B15003_019M","B15003_020E","B15003_020M","B15003_021E","B15003_021M","B15003_022E","B15003_022M","B15003_023E","B15003_023M","B15003_024E","B15003_024M","B15003_025E","B15003_025M",
"Geography","Geographic Area Name","Estimate!!Total:","Margin of Error!!Total:","Estimate!!Total:!!No schooling completed","Margin of Error!!Total:!!No schooling completed","Estimate!!Total:!!Nursery school","Margin of Error!!Total:!!Nursery school","Estimate!!Total:!!Kindergarten","Margin of Error!!Total:!!Kindergarten","Estimate!!Total:!!1st grade","Margin of Error!!Total:!!1st grade","Estimate!!Total:!!2nd grade","Margin of Error!!Total:!!2nd grade","Estimate!!Total:!!3rd grade","Margin of Error!!Total:!!3rd grade","Estimate!!Total:!!4th grade","Margin of Error!!Total:!!4th grade","Estimate!!Total:!!5th grade","Margin of Error!!Total:!!5th grade","Estimate!!Total:!!6th grade","Margin of Error!!Total:!!6th grade","Estimate!!Total:!!7th grade","Margin of Error!!Total:!!7th grade","Estimate!!Total:!!8th grade","Margin of Error!!Total:!!8th grade","Estimate!!Total:!!9th grade","Margin of Error!!Total:!!9th grade","Estimate!!Total:!!10th grade","Margin of Error!!Total:!!10th grade","Estimate!!Total:!!11th grade","Margin of Error!!Total:!!11th grade","Estimate!!Total:!!12th grade, no diploma","Margin of Error!!Total:!!12th grade, no diploma","Estimate!!Total:!!Regular high school diploma","Margin of Error!!Total:!!Regular high school diploma","Estimate!!Total:!!GED or alternative credential","Margin of Error!!Total:!!GED or alternative credential","Estimate!!Total:!!Some college, less than 1 year","Margin of Error!!Total:!!Some college, less than 1 year","Estimate!!Total:!!Some college, 1 or more years, no degree","Margin of Error!!Total:!!Some college, 1 or more years, no degree","Estimate!!Total:!!Associate's degree","Margin of Error!!Total:!!Associate's degree","Estimate!!Total:!!Bachelor's degree","Margin of Error!!Total:!!Bachelor's degree","Estimate!!Total:!!Master's degree","Margin of Error!!Total:!!Master's degree","Estimate!!Total:!!Professional school degree","Margin of Error!!Total:!!Professional school degree","Estimate!!Total:!!Doctorate degree","Margin of Error!!Total:!!Doctorate degree",
"5001800US4213","Congressional District 13 (118th Congress), Pennsylvania","541743","2675","5956","1596","76","64","0","190","26","45","83","123","63","81","174","161","94","108","370","192","701","328","6958","1329","6736","1508","7432","1230","10573","1655","9169","1925","214492","5606","28272","2526","33881","3522","49036","3162","50580","3276","74531","3890","32529","2743","6131","1078","3880","925",
"5001800US4214","Congressional District 14 (118th Congress), Pennsylvania","550973","4059","3278","719","228","268","0","190","65","108","0","190","0","190","50","60","136","213","321","235","1223","677","3493","839","4008","1000","6300","1168","8383","1376","6647","1314","198397","5376","22453","1914","30976","2339","53213","3618","61796","3400","95023","4259","40677","2418","7765","1339","6541","1493",
"5001800US4215","Congressional District 15 (118th Congress), Pennsylvania","529681","3110","5271","970","239","290","33","38","0","190","28","48","0","190","12","21","88","112","161","158","923","366","8225","1150","5316","1221","8508","1278","9117","1503","8013","948","200837","4858","27170","2075","28534","2372","44221","2762","52999","2485","75677","4180","37365","2331","5854","987","11090","1454",
"5001800US4216","Congressional District 16 (118th Congress), Pennsylvania","540313","2114","4203","880","78","76","147","220","11","19","142","229","0","190","85","73","0","190","159","133","1327","413","4125","740","2821","886","6336","1320","7728","1376","8541","1171","184600","5798","22712","2162","31781","3015","49332","3232","50976","3676","102244","4907","47362","3627","7380","1327","8223","1449",
"5001800US4217","Congressional District 17 (118th Congress), Pennsylvania","554816","7537","3488","823","189","189","0","190","114","138","115","144","58","99","48","77","114","117","90","104","395","246","859","466","1347","514","3086","1065","3719","1070","5573","1129","137778","6416","14644","2498","28542","2639","54441","3784","57765","3975","147732","6284","65815","3924","17244","1848","11660","1628",
"5001800US4401","Congressional District 1 (118th Congress), Rhode Island","387419","6026","9855","1901","86","144","0","242","213","342","927","740","387","224","1740","824","931","588","2174","993","1396","878","2879","1145","5338","1560","4068","1431","4438","1422","6815","1726","82489","6077","15655","2479","25432","3455","43164","4288","28314","2827","92230","6320","38812","3737","12120","2357","7956","1662",
"5001800US4402","Congressional District 2 (118th Congress), Rhode Island","390772","5917","6577","1760","190","217","91","134","498","698","528","629","652","719","217","252","107","129","2203","1293","1196","759","4642","1392","4612","1574","2510","961","2235","859","6487","2275","79234","6002","14841","2791","25316","3689","47183","4539","34159","3365","93653","5250","45492","4159","10172","1892","7977","1557",
"5001800US4501","Congressional District 1 (118th Congress), South Carolina","535451","5959","3293","1236","0","222","0","222","363","542","24","43","164","216","117","204","201","222","2060","1057","1260","733","3059","1455","4235","1397","5330","1351","5808","1773","7253","1717","89214","5383","19258","2899","37322","3678","72428","5905","52360","4274","138909","5837","68874","4914","14487","2450","9432","1677",
"5001800US4502","Congressional District 2 (118th Congress), South Carolina","517566","5854","3472","886","0","222","0","222","177","257","170","239","535","347","199","326","1298","724","2275","1090","936","386","3122","1027","5021","1290","7033","1513","7518","2150","9111","2076","107967","5908","18542","2304","35681","3638","70258","5322","52520","4653","111017","4728","58744","4273","11578","1835","10392","1512",
"5001800US4503","Congressional District 3 (118th Congress), South Carolina","516563","5239","6381","1627","0","222","0","222","0","222","170","277","286","335","630","475","423","250","1831","734","1929","674","5279","1249","8893","2154","15209","2196","11174","1972","11156","2452","134792","6689","30727","3462","35999","3183","59544","4290","56100","3721","81310","4595","36637","3097","8716","1773","9377","1566",
