"GEO_ID","NAME","B19013_001E","B19013_001M",
"Geography","Geographic Area Name","Estimate!!Median household income in the past 12 months (in 2019 inflation-adjusted dollars)","Margin of Error!!Median household income in the past 12 months (in 2019 inflation-adjusted dollars)",
"5001600US2908","Congressional District 8 (116th Congress), Missouri","45656","1246",
"5001600US3000","Congressional District (at Large) (116th Congress), Montana","57153","1205",
"5001600US3101","Congressional District 1 (116th Congress), Nebraska","63921","1657",
"5001600US3102","Congressional District 2 (116th Congress), Nebraska","71277","1476",
"5001600US3103","Congressional District 3 (116th Congress), Nebraska","55729","1313",
"5001600US3201","Congressional District 1 (116th Congress), Nevada","44078","2020",
"5001600US3202","Congressional District 2 (116th Congress), Nevada","69972","2050",
"5001600US3203","Congressional District 3 (116th Congress), Nevada","79169","1997",
"5001600US3204","Congressional District 4 (116th Congress), Nevada","62241","1725",
"5001600US3301","Congressional District 1 (116th Congress), New Hampshire","79996","2758",
"5001600US3302","Congressional District 2 (116th Congress), New Hampshire","76368","2306",
"5001600US3401","Congressional District 1 (116th Congress), New Jersey","75244","2371",
"5001600US3402","Congressional District 2 (116th Congress), New Jersey","68127","2366",
"5001600US3403","Congressional District 3 (116th Congress), New Jersey","85746","1842",
"5001600US3404","Congressional District 4 (116th Congress), New Jersey","91212","3104",
"5001600US3405","Congressional District 5 (116th Congress), New Jersey","110329","3206",
"5001600US3406","Congressional District 6 (116th Congress), New Jersey","91654","3108",
"5001600US3407","Congressional District 7 (116th Congress), New Jersey","115585","3631",
"5001600US3408","Congressional District 8 (116th Congress), New Jersey","65658","2498",
"5001600US3409","Congressional District 9 (116th Congress), New Jersey","81431","2737",
"5001600US3410","Congressional District 10 (116th Congress), New Jersey","61975","1804",
"5001600US3411","Congressional District 11 (116th Congress), New Jersey","120847","4637",
"5001600US3412","Congressional District 12 (116th Congress), New Jersey","87559","3317",
"5001600US3501","Congressional District 1 (116th Congress), New Mexico","55318","2312",
"5001600US3502","Congressional District 2 (116th Congress), New Mexico","46817","2549",
"5001600US3503","Congressional District 3 (116th Congress), New Mexico","53357","1982",
"5001600US3601","Congressional District 1 (116th Congress), New York","101701","3011",
"5001600US3602","Congressional District 2 (116th Congress), New York","108725","4211",
"5001600US3603","Congressional District 3 (116th Congress), New York","126191","4595",
"5001600US3604","Congressional District 4 (116th Congress), New York","110677","2472",
"5001600US3605","Congressional District 5 (116th Congress), New York","76150","2760",
"5001600US3606","Congressional District 6 (116th Congress), New York","70529","2800",
"5001600US3607","Congressional District 7 (116th Congress), New York","66891","3041",
"5001600US3608","Congressional District 8 (116th Congress), New York","59806","2219",
"5001600US3609","Congressional District 9 (116th Congress), New York","69754","2869",
"5001600US3610","Congressional District 10 (116th Congress), New York","103331","5054",
"5001600US3611","Congressional District 11 (116th Congress), New York","81253","2880",
"5001600US3612","Congressional District 12 (116th Congress), New York","124502","5528",
"5001600US3613","Congressional District 13 (116th Congress), New York","46298","2803",
"5001600US3614","Congressional District 14 (116th Congress), New York","66749","2060",
"5001600US3615","Congressional District 15 (116th Congress), New York","31061","1237",
"5001600US3616","Congressional District 16 (116th Congress), New York","74799","3098",
"5001600US3617","Congressional District 17 (116th Congress), New York","108449","3928",
"5001600US3618","Congressional District 18 (116th Congress), New York","91723","2392",
"5001600US3619","Congressional District 19 (116th Congress), New York","67004","1880",
"5001600US3620","Congressional District 20 (116th Congress), New York","71156","2095",
"5001600US3621","Congressional District 21 (116th Congress), New York","57320","1829",
"5001600US3622","Congressional District 22 (116th Congress), New York","56615","1902",
"5001600US3623","Congressional District 23 (116th Congress), New York","53769","1452",
"5001600US3624","Congressional District 24 (116th Congress), New York","60899","1432",
"5001600US3625","Congressional District 25 (116th Congress), New York","61336","1534",
"5001600US3626","Congressional District 26 (116th Congress), New York","52122","1533",
"5001600US3627","Congressional District 27 (116th Congress), New York","69186","1955",
"5001600US3701","Congressional District 1 (116th Congress), North Carolina","47469","1800",
"5001600US3702","Congressional District 2 (116th Congress), North Carolina","75366","4038",
"5001600US3703","Congressional District 3 (116th Congress), North Carolina","53545","1795",
"5001600US3704","Congressional District 4 (116th Congress), North Carolina","75687","2258",
"5001600US3705","Congressional District 5 (116th Congress), North Carolina","49376","2408",
"5001600US3706","Congressional District 6 (116th Congress), North Carolina","54132","1816",
"5001600US3707","Congressional District 7 (116th Congress), North Carolina","53066","2630",
"5001600US3708","Congressional District 8 (116th Congress), North Carolina","54507","2126",
"5001600US3709","Congressional District 9 (116th Congress), North Carolina","66208","2555",
"5001600US3710","Congressional District 10 (116th Congress), North Carolina","53189","1785",
"5001600US3711","Congressional District 11 (116th Congress), North Carolina","51884","1671",
"5001600US3712","Congressional District 12 (116th Congress), North Carolina","61658","1476",
"5001600US3713","Congressional District 13 (116th Congress), North Carolina","56718","2207",
"5001600US3800","Congressional District (at Large) (116th Congress), North Dakota","64577","3011",
"5001600US3901","Congressional District 1 (116th Congress), Ohio","63648","2825",
"5001600US3902","Congressional District 2 (116th Congress), Ohio","61220","2072",
"5001600US3903","Congressional District 3 (116th Congress), Ohio","51435","1181",
"5001600US3904","Congressional District 4 (116th Congress), Ohio","60212","1537",
"5001600US3905","Congressional District 5 (116th Congress), Ohio","63702","1547",
"5001600US3906","Congressional District 6 (116th Congress), Ohio","52442","1577",
"5001600US3907","Congressional District 7 (116th Congress), Ohio","57897","1938",
"5001600US3908","Congressional District 8 (116th Congress), Ohio","62845","1916",
"5001600US3909","Congressional District 9 (116th Congress), Ohio","45076","1411",
"5001600US3910","Congressional District 10 (116th Congress), Ohio","56595","1677",
"5001600US3911","Congressional District 11 (116th Congress), Ohio","42207","1388",
"5001600US3912","Congressional District 12 (116th Congress), Ohio","76631","2794",
"5001600US3913","Congressional District 13 (116th Congress), Ohio","46582","1211",
"5001600US3914","Congressional District 14 (116th Congress), Ohio","67698","1980",
"5001600US3915","Congressional District 15 (116th Congress), Ohio","69844","1777",
"5001600US3916","Congressional District 16 (116th Congress), Ohio","68534","1461",
"5001600US4001","Congressional District 1 (116th Congress), Oklahoma","59660","1442",
"5001600US4002","Congressional District 2 (116th Congress), Oklahoma","45207","1101",
"5001600US4003","Congressional District 3 (116th Congress), Oklahoma","54629","1768",
"5001600US4004","Congressional District 4 (116th Congress), Oklahoma","59463","1785",
"5001600US4005","Congressional District 5 (116th Congress), Oklahoma","54928","1462",
"5001600US4101","Congressional District 1 (116th Congress), Oregon","81473","2241",
"5001600US4102","Congressional District 2 (116th Congress), Oregon","57870","2030",
"5001600US4103","Congressional District 3 (116th Congress), Oregon","73091","2177",
"5001600US4104","Congressional District 4 (116th Congress), Oregon","55886","1851",
"5001600US4105","Congressional District 5 (116th Congress), Oregon","68757","2151",
"5001600US4201","Congressional District 1 (116th Congress), Pennsylvania","93474","2754",
"5001600US4202","Congressional District 2 (116th Congress), Pennsylvania","46248","2853",
"5001600US4203","Congressional District 3 (116th Congress), Pennsylvania","49897","2206",
"5001600US4204","Congressional District 4 (116th Congress), Pennsylvania","91030","1824",
"5001600US4205","Congressional District 5 (116th Congress), Pennsylvania","71880","2639",
"5001600US4206","Congressional District 6 (116th Congress), Pennsylvania","85665","3096",
"5001600US4207","Congressional District 7 (116th Congress), Pennsylvania","69105","2682",
"5001600US4208","Congressional District 8 (116th Congress), Pennsylvania","56149","1872",
"5001600US4209","Congressional District 9 (116th Congress), Pennsylvania","62078","1506",
"5001600US4210","Congressional District 10 (116th Congress), Pennsylvania","67155","2196",
"5001600US4211","Congressional District 11 (116th Congress), Pennsylvania","68811","2074",
"5001600US4212","Congressional District 12 (116th Congress), Pennsylvania","55203","1963",
"5001600US4213","Congressional District 13 (116th Congress), Pennsylvania","56618","1503",
"5001600US4214","Congressional District 14 (116th Congress), Pennsylvania","59165","2101",
"5001600US4215","Congressional District 15 (116th Congress), Pennsylvania","53741","1481",
"5001600US4216","Congressional District 16 (116th Congress), Pennsylvania","54627","1485",
"5001600US4217","Congressional District 17 (116th Congress), Pennsylvania","70857","2012",
"5001600US4218","Congressional District 18 (116th Congress), Pennsylvania","58743","1432",
"5001600US4401","Congressional District 1 (116th Congress), Rhode Island","66652","2380",
"5001600US4402","Congressional District 2 (116th Congress), Rhode Island","74180","2664",
"5001600US4501","Congressional District 1 (116th Congress), South Carolina","77185","2677",
"5001600US4502","Congressional District 2 (116th Congress), South Carolina","60781","1694",
"5001600US4503","Congressional District 3 (116th Congress), South Carolina","50815","1495",
"5001600US4504","Congressional District 4 (116th Congress), South Carolina","60731","1698",
"5001600US4505","Congressional District 5 (116th Congress), South Carolina","56282","1640",
"5001600US4506","Congressional District 6 (116th Congress), South Carolina","41128","1505",
"5001600US4507","Congressional District 7 (116th Congress), South Carolina","49494","1630",
"5001600US4600","Congressional District (at Large) (116th Congress), South Dakota","59533","1949",
"5001600US4701","Congressional District 1 (116th Congress), Tennessee","47478","1717",
"5001600US4702","Congressional District 2 (116th Congress), Tennessee","57777","2374",
"5001600US4703","Congressional District 3 (116th Congress), Tennessee","52491","1516",
"5001600US4704","Congressional District 4 (116th Congress), Tennessee","59461","2065",
"5001600US4705","Congressional District 5 (116th Congress), Tennessee","63295","2265",
"5001600US4706","Congressional District 6 (116th Congress), Tennessee","59421","1871",
"5001600US4707","Congressional District 7 (116th Congress), Tennessee","62720","1899",
"5001600US4708","Congressional District 8 (116th Congress), Tennessee","60152","2295",
"5001600US4709","Congressional District 9 (116th Congress), Tennessee","43708","1919",
"5001600US4801","Congressional District 1 (116th Congress), Texas","54396","2514",
"5001600US4802","Congressional District 2 (116th Congress), Texas","80922","1748",
"5001600US4803","Congressional District 3 (116th Congress), Texas","95619","3196",
"5001600US4804","Congressional District 4 (116th Congress), Texas","60060","1797",
"5001600US4805","Congressional District 5 (116th Congress), Texas","57026","2093",
"5001600US4806","Congressional District 6 (116th Congress), Texas","71161","1487",
"5001600US4807","Congressional District 7 (116th Congress), Texas","73730","4084",
"5001600US4808","Congressional District 8 (116th Congress), Texas","78615","3753",
"5001600US4809","Congressional District 9 (116th Congress), Texas","49147","2355",
"5001600US4810","Congressional District 10 (116th Congress), Texas","80528","2507",
"5001600US4811","Congressional District 11 (116th Congress), Texas","64070","2482",
"5001600US4812","Congressional District 12 (116th Congress), Texas","73000","2173",
"5001600US4813","Congressional District 13 (116th Congress), Texas","54004","1609",
"5001600US4814","Congressional District 14 (116th Congress), Texas","67459","2175",
"5001600US4815","Congressional District 15 (116th Congress), Texas","48113","2260",
"5001600US4816","Congressional District 16 (116th Congress), Texas","49013","2315",
"5001600US4817","Congressional District 17 (116th Congress), Texas","58929","2333",
"5001600US4818","Congressional District 18 (116th Congress), Texas","48625","2204",
"5001600US4819","Congressional District 19 (116th Congress), Texas","55278","1572",
"5001600US4820","Congressional District 20 (116th Congress), Texas","54908","2367",
"5001600US4821","Congressional District 21 (116th Congress), Texas","73472","3091",
"5001600US4822","Congressional District 22 (116th Congress), Texas","101658","3156",
"5001600US4823","Congressional District 23 (116th Congress), Texas","59074","2614",
"5001600US4824","Congressional District 24 (116th Congress), Texas","79667","2565",
"5001600US4825","Congressional District 25 (116th Congress), Texas","79975","3116",
"5001600US4826","Congressional District 26 (116th Congress), Texas","96307","2107",
"5001600US4827","Congressional District 27 (116th Congress), Texas","55987","2119",
"5001600US4828","Congressional District 28 (116th Congress), Texas","53597","2291",
"5001600US4829","Congressional District 29 (116th Congress), Texas","48300","2295",
"5001600US4830","Congressional District 30 (116th Congress), Texas","51819","1641",
