"full_name","congress","importance_intl","importance_dom","importance_prof","pred","intl_percentage","dom_percentage","prof_percentage","decision","party","chamber","committee_el","gender","age","seniority","ideology","district","state_code","bioguide_id"
"Rep. Kustoff, David [R-TN-8]","116",24.7922,39.2689,45.7248,0.388897366212093,0.225823581759737,0.357686838996336,0.416491400974808,"prof","Republican","house of representatives","Committee on Financial Services","Male",58,2,0.718668153847725,"8","TN","K000392"
"Rep. Kustoff, David [R-TN-8]","117",25.3928,44.1353,44.93,0.276764924410456,0.221851200476679,0.385600220865692,0.392543336592151,"prof","Republican","house of representatives","Committee on Financial Services","Male",58,4,0.606361294492328,"8","TN","K000392"
"Rep. LaHood, Darin [R-IL-16]","115",20.6072,36.7029,37.2436,0.401030557883602,0.217941301204921,0.388169076050803,0.393887507548605,"prof","Republican","house of representatives","Committee on Ways and Means","Male",56,2,0.746231825517786,"18","IL","L000585"
"Rep. LaHood, Darin [R-IL-16]","118",21.4726,47.2666,46.8649,0.374553602211902,0.185742225851461,0.40886541417577,0.405390629933316,"dom","Republican","house of representatives","Committee on Ways and Means","Male",56,8,0.633087772579555,"16","IL","L000585"
"Rep. LaLota, Nick [R-NY-1]","118",21.7918,41.1143,44.5936,0.395669766064706,0.202714984320886,0.38245967198048,0.414825343698634,"prof","Republican","house of representatives","Committee on Armed Services","Male",46,0,0.637193723985818,"1","NY","L000598"
"Rep. LaMalfa, Doug [R-CA-1]","115",17.8811,42.005,35.7362,0.37009249156297,0.186997566462146,0.439281295851064,0.373723229253488,"dom","Republican","house of representatives","Committee on Agriculture","Male",64,4,0.945799980449105,"1","CA","L000578"
"Rep. LaMalfa, Doug [R-CA-1]","117",27.7426,43.9508,47.4248,0.328128886638029,0.232899953911286,0.368968276021864,0.39813260956983,"prof","Republican","house of representatives","Committee on Agriculture","Male",64,8,0.794714410530119,"1","CA","L000578"
"Rep. LaMalfa, Doug [R-CA-1]","118",24.8211,48.7185,43.5135,0.31113807555413,0.212049553494007,0.416207830108164,0.371740907774492,"dom","Republican","house of representatives","Committee on Natural Resources","Male",64,10,0.811765095461436,"1","CA","L000578"
"Rep. Lamborn, Doug [R-CO-5]","115",21.6793,42.1089,38.9112,0.428251684499972,0.21109553160206,0.410022492916192,0.37888587035901,"dom","Republican","house of representatives","Committee on Armed Services","Male",70,10,0.855706482633364,"5","CO","L000564"
"Rep. Langworthy, Nicholas A. [R-NY-23]","118",24.7127,48.1416,43.9542,0.322542552521266,0.211564852395918,0.412139122722459,0.376290888295518,"dom","Republican","house of representatives","Committee on Agriculture","Male",43,0,0.766512723207449,"23","NY","L000600"
