"GEO_ID","NAME","B02001_001E","B02001_001M","B02001_002E","B02001_002M","B02001_003E","B02001_003M","B02001_004E","B02001_004M","B02001_005E","B02001_005M","B02001_006E","B02001_006M","B02001_007E","B02001_007M","B02001_008E","B02001_008M","B02001_009E","B02001_009M","B02001_010E","B02001_010M",
"Geography","Geographic Area Name","Estimate!!Total","Margin of Error!!Total","Estimate!!Total!!White alone","Margin of Error!!Total!!White alone","Estimate!!Total!!Black or African American alone","Margin of Error!!Total!!Black or African American alone","Estimate!!Total!!American Indian and Alaska Native alone","Margin of Error!!Total!!American Indian and Alaska Native alone","Estimate!!Total!!Asian alone","Margin of Error!!Total!!Asian alone","Estimate!!Total!!Native Hawaiian and Other Pacific Islander alone","Margin of Error!!Total!!Native Hawaiian and Other Pacific Islander alone","Estimate!!Total!!Some other race alone","Margin of Error!!Total!!Some other race alone","Estimate!!Total!!Two or more races","Margin of Error!!Total!!Two or more races","Estimate!!Total!!Two or more races!!Two races including Some other race","Margin of Error!!Total!!Two or more races!!Two races including Some other race","Estimate!!Total!!Two or more races!!Two races excluding Some other race, and three or more races","Margin of Error!!Total!!Two or more races!!Two races excluding Some other race, and three or more races",
"5001500US4104","Congressional District 4 (115th Congress), Oregon","803611","4026","709844","5846","5902","1262","6611","1393","20490","1845","1560","682","18356","3903","40848","3461","3711","1188","37137","3495",
"5001500US4105","Congressional District 5 (115th Congress), Oregon","831703","6598","712449","9944","8168","1748","8437","1912","23568","2401","5009","1189","29889","5783","44183","5067","4036","2680","40147","4366",
"5001500US4201","Congressional District 1 (115th Congress), Pennsylvania","728366","19204","332193","12667","267639","14080","2035","1427","53425","5981","649","989","49083","7073","23342","4371","4738","2500","18604","4100",
"5001500US4202","Congressional District 2 (115th Congress), Pennsylvania","726135","18162","245744","8789","411207","14712","1301","723","36880","4877","406","254","12154","3353","18443","3419","1838","1111","16605","3163",
"5001500US4203","Congressional District 3 (115th Congress), Pennsylvania","691184","5313","631323","5988","30709","2447","810","356","7619","814","246","259","5229","2256","15248","2300","1297","712","13951","2142",
"5001500US4204","Congressional District 4 (115th Congress), Pennsylvania","729945","5227","623934","5685","57402","3964","1047","461","18038","1562","302","482","8965","2131","20257","3183","2567","1224","17690","2981",
"5001500US4205","Congressional District 5 (115th Congress), Pennsylvania","696063","5277","649753","5563","18967","2022","1715","679","13477","837","43","92","1756","584","10352","1695","1558","649","8794","1410",
"5001500US4206","Congressional District 6 (115th Congress), Pennsylvania","728576","12518","618782","11993","39874","4621","709","551","36689","2625","105","132","17136","4757","15281","2604","3371","1470","11910","2134",
"5001500US4207","Congressional District 7 (115th Congress), Pennsylvania","725762","12957","622048","11932","41358","4396","553","533","37425","3671","16","32","5869","1919","18493","3422","758","416","17735","3388",
"5001500US4208","Congressional District 8 (115th Congress), Pennsylvania","713998","5906","624282","5459","28907","2143","926","421","39764","3182","0","179","8228","1898","11891","2247","1775","942","10116","1996",
"5001500US4209","Congressional District 9 (115th Congress), Pennsylvania","687620","5514","648066","5458","19825","1919","585","393","3805","754","191","287","2817","1234","12331","1786","586","373","11745","1707",
"5001500US4210","Congressional District 10 (115th Congress), Pennsylvania","694398","7523","643550","7426","25172","2814","1423","668","7680","1091","48","54","4684","1470","11841","2258","1483","763","10358","2138",
"5001500US4211","Congressional District 11 (115th Congress), Pennsylvania","701056","8057","617299","8840","44144","4809","918","518","15283","2466","158","169","10649","2596","12605","2551","919","398","11686","2499",
"5001500US4212","Congressional District 12 (115th Congress), Pennsylvania","689237","8282","634236","9125","24502","3052","568","369","11752","2433","352","323","2767","1172","15060","2892","954","523","14106","2974",
"5001500US4213","Congressional District 13 (115th Congress), Pennsylvania","728475","16023","469565","12935","127968","10558","2945","1569","72489","5744","52","88","38822","9709","16634","3496","1622","745","15012","3415",
"5001500US4214","Congressional District 14 (115th Congress), Pennsylvania","687028","8151","489032","8698","142364","5061","1011","623","26347","3198","250","311","4091","1520","23933","3424","1190","577","22743","3305",
"5001500US4215","Congressional District 15 (115th Congress), Pennsylvania","734824","8738","616828","8552","41814","5647","2369","1504","21147","1990","161","209","31348","5293","21157","4040","2861","1019","18296","3846",
"5001500US4216","Congressional District 16 (115th Congress), Pennsylvania","731802","8387","604697","9977","52219","5024","2676","1536","14533","1346","173","250","24673","4702","32831","5064","1891","757","30940","5085",
"5001500US4217","Congressional District 17 (115th Congress), Pennsylvania","697535","10352","608471","9468","44208","4236","1277","732","12844","2108","189","149","13284","3624","17262","3014","3138","1449","14124","2716",
"5001500US4218","Congressional District 18 (115th Congress), Pennsylvania","713533","8247","659685","9840","18802","2651","655","363","15391","2813","84","131","1445","667","17471","3358","1700","854","15771","3235",
"5001500US4401","Congressional District 1 (115th Congress), Rhode Island","539250","7218","415975","7341","44282","5494","3061","1591","19159","2417","1087","1175","33447","5669","22239","4689","6073","2921","16166","3313",
"5001500US4402","Congressional District 2 (115th Congress), Rhode Island","520389","7218","450283","6676","22378","4438","2519","1138","18899","2338","41","76","13856","3529","12413","2780","2228","1181","10185","2477",
"5001500US4501","Congressional District 1 (115th Congress), South Carolina","782340","7561","581337","5919","152737","8055","1923","882","14025","2138","205","346","12072","2770","20041","3451","1812","1180","18229","3309",
"5001500US4502","Congressional District 2 (115th Congress), South Carolina","713488","10939","500554","5652","169771","9342","2202","750","14042","1994","505","51","12291","3290","14123","2739","516","349","13607","2750",
"5001500US4503","Congressional District 3 (115th Congress), South Carolina","687378","5850","525825","5611","128875","5046","2485","1618","5545","777","85","139","12223","3800","12340","2923","1350","903","10990","2577",
"5001500US4504","Congressional District 4 (115th Congress), South Carolina","731886","6841","537222","7199","130730","6062","1543","821","18625","1739","4600","4574","17280","3784","21886","3660","3107","1640","18779","3319",
"5001500US4505","Congressional District 5 (115th Congress), South Carolina","718465","5329","493772","4261","189083","4091","2500","563","8810","1226","311","390","8069","2017","15920","2944","1333","843","14587","2739",
"5001500US4506","Congressional District 6 (115th Congress), South Carolina","670725","14486","261733","8532","380428","12539","1676","723","7817","2203","288","260","8795","2549","9988","2044","957","633","9031","1898",
"5001500US4507","Congressional District 7 (115th Congress), South Carolina","720087","2593","479776","3334","205761","3860","2678","821","7317","1332","395","502","11229","2743","12931","2473","199","192","12732","2488",
"5001500US4600","Congressional District (at Large) (115th Congress), South Dakota","869666","*****","736581","2594","16987","1897","76078","2436","10775","1976","944","628","5647","1821","22654","2935","1275","1080","21379","2915",
"5001500US4701","Congressional District 1 (115th Congress), Tennessee","714912","2191","670881","3745","20486","2230","1445","805","5751","1228","142","180","5628","2274","10579","1709","1263","817","9316","1513",
